"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Dawid Adam KOSTEMPSKI";"Henryk Krzysztof MERCIK";"Leon SWACZYNA";"Dorota Jolanta TOBISZOWSKA"
"715b-3e2b-e600-0b2f-72cf-62fd-f482-8124";"246301";"74";"62";"miasto";"dom pomocy społecznej";"Dom Polskiego Czerwonego Krzyża, Plac Piastowski 19, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"40";"34";"31";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"9";"2";"0";"2";"0";"7";"4";"0";"2";"1"
"1479-f778-b727-ecd9-d7ce-191b-efda-7160";"246301";"74";"63";"miasto";"dom pomocy społecznej";"Dom Opieki HONORATA. Zakład Opiekuńczo-Leczniczy, ul. Główna 31, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"140";"81";"122";"18";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18";"0";"0";"18";"1";"0";"1";"0";"17";"6";"7";"0";"4"
"fb0f-9c48-25c9-a274-1697-4212-4c09-0fc1";"247101";"74";"1";"miasto";"stały";"Filia Miejskiego Domu Kultury, ul. Tarnogórska 49, 41-945 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1200";"1308";"396";"804";"1";"2";"0";"0";"0";"0";"0";"0";"0";"804";"0";"0";"804";"12";"3";"9";"0";"792";"139";"182";"111";"360"
"deb6-7638-6a94-aed4-db44-200f-b6df-3b14";"247101";"74";"2";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 1, ul. Tarnogóska 40, 41-945 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1049";"1147";"255";"793";"0";"3";"0";"0";"0";"0";"0";"0";"0";"793";"0";"0";"793";"13";"4";"9";"0";"780";"176";"174";"106";"324"
"a2d6-98fc-0b7e-3855-9748-84c2-5cc2-c439";"247101";"74";"3";"miasto";"stały";"Miejski Ośrodek Sportu i Rekreacji, ul. Olimpijska 3, 41-943 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1550";"1683";"717";"833";"0";"2";"0";"0";"0";"0";"0";"0";"0";"831";"0";"0";"831";"25";"15";"10";"0";"806";"154";"174";"109";"369"
"458b-999e-1911-469b-ccb8-6759-aa0b-49c0";"247101";"74";"4";"miasto";"stały";"Miejska Szkoła Podstawowa Nr 9 z Oddziałami Integracyjnymi im. Gustawa Morcinka, ul. księdza Gerarda Waculika 10, 41-943 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1950";"2158";"552";"1398";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1398";"0";"1";"1397";"29";"4";"25";"0";"1368";"238";"333";"169";"628"
"f3cd-cf9b-b036-c73f-229d-1b99-ad18-c76a";"247101";"74";"5";"miasto";"stały";"Miejska Szkoła Podstawowa Nr 9 z Oddziałami Integracyjnymi im. Gustawa Morcinka, ul. księdza Gerarda Waculika 10, 41-943 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1670";"1876";"586";"1084";"1";"1";"1";"1";"0";"0";"0";"0";"1";"1084";"1";"0";"1084";"24";"2";"22";"0";"1060";"230";"295";"122";"413"
"0319-7e7a-89ae-327e-fe2f-6be6-700f-cd37";"247101";"74";"6";"miasto";"stały";"Miejska Szkoła Podstawowa Nr 11, ul. Śląska 8, 41-943 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1100";"1206";"427";"673";"0";"0";"0";"0";"0";"0";"0";"0";"0";"673";"0";"0";"673";"10";"4";"6";"0";"663";"125";"153";"81";"304"
"a697-b0c9-a020-b0c0-fe60-d456-8ef4-a895";"247101";"74";"7";"miasto";"stały";"Miejska Szkoła Podstawowa Nr 11, ul. Śląska 8, 41-943 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1100";"1200";"382";"718";"0";"5";"0";"0";"0";"0";"0";"0";"0";"716";"0";"0";"716";"23";"5";"18";"0";"693";"117";"156";"86";"334"
"b311-a511-2516-4c2f-569d-0ef9-c70b-54ef";"247101";"74";"8";"miasto";"stały";"Miejska Szkoła Podstawowa Nr 11, ul. Śląska 8, 41-943 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1200";"1268";"295";"905";"1";"0";"0";"0";"0";"0";"0";"0";"0";"904";"0";"0";"904";"18";"8";"10";"0";"886";"142";"248";"91";"405"
"55da-957a-752d-d6e4-6f15-bb46-354b-11e3";"247101";"74";"9";"miasto";"stały";"Zespół Szkól Specjalnych, ul. Armii Krajowej 2, 41-943 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1250";"1379";"385";"865";"0";"3";"0";"0";"0";"0";"0";"0";"0";"865";"0";"0";"865";"21";"0";"21";"0";"844";"145";"194";"100";"405"
"097c-bb21-1c0b-6679-002e-fa3f-57ea-0b12";"247101";"74";"10";"miasto";"stały";"Zespół Szkól Specjalnych, ul. Armii Krajowej 2, 41-943 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1250";"1375";"411";"839";"2";"6";"0";"0";"0";"0";"0";"0";"0";"839";"0";"0";"839";"20";"5";"15";"0";"819";"120";"167";"110";"422"
"1ad7-faec-a392-b4ec-6316-ee95-199c-2fc3";"247101";"74";"11";"miasto";"stały";"Miejska Szkoła Podstawowa Nr 2, ul. Ks. Jerzego Popiełuszki 8, 41-940 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1519";"1667";"395";"1124";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1124";"0";"0";"1124";"6";"6";"0";"0";"1118";"225";"274";"114";"505"
"29de-279e-6dd0-9483-f987-a6d6-18ee-554e";"247101";"74";"12";"miasto";"stały";"Miejska Szkoła Podstawowa Nr 2, ul. Ks. Jerzego Popiełuszki 8, 41-940 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1550";"1687";"461";"1089";"3";"8";"2";"2";"0";"0";"0";"0";"2";"1091";"2";"0";"1091";"25";"5";"20";"0";"1066";"192";"322";"118";"434"
"0218-1e3e-38d7-b41d-4b61-113f-31db-1cfe";"247101";"74";"13";"miasto";"stały";"Katolicka Szkoła Podstawowa im. św. Joanny Beretty Molli, ul. Bytomska 207, 41-940 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1800";"1963";"568";"1232";"2";"4";"0";"0";"0";"0";"0";"0";"0";"1232";"0";"0";"1232";"28";"3";"25";"0";"1204";"284";"336";"153";"431"
"d6c2-3216-b0cd-3185-f7c4-6f91-f444-7508";"247101";"74";"14";"miasto";"stały";"Miejska Szkoła Podstawowa Nr 5 im. Wawrzyńca Hajdy, ul. Fryderyka Chopina 11, 41-940 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1689";"1898";"353";"1336";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1336";"0";"0";"1336";"24";"10";"14";"0";"1312";"245";"389";"159";"519"
"657a-fe5e-d20f-1f1b-7c32-cbd2-82fc-a438";"247101";"74";"15";"miasto";"stały";"Zespół Szkół Techniczno-Zawodowych, ul. Bytomska 81a, 41-940 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1650";"1806";"539";"1111";"3";"6";"0";"0";"0";"0";"0";"0";"0";"1111";"0";"0";"1111";"26";"7";"19";"0";"1085";"218";"285";"164";"418"
"e466-79f6-be18-fb53-f2f6-2f11-b6d8-0fe2";"247101";"74";"16";"miasto";"stały";"Akademicki Zespół Szkół, ul. Gimnazjalna 24, 41-940 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1346";"1479";"456";"890";"2";"7";"0";"0";"0";"0";"0";"0";"0";"890";"0";"0";"890";"14";"3";"11";"0";"876";"182";"221";"103";"370"
"0c90-9aad-9431-5bf8-8b28-c3b5-0051-6107";"247101";"74";"17";"miasto";"stały";"Miejska Szkoła Podstawowa Nr 1, ul. Szpitalna 9, 41-940 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1000";"1080";"555";"445";"2";"2";"0";"0";"0";"0";"0";"0";"0";"445";"0";"0";"445";"7";"0";"7";"0";"438";"81";"104";"49";"204"
"ebc4-6873-374e-e958-7a5c-9d30-6aa7-bfae";"247101";"74";"18";"miasto";"stały";"Miejska Szkoła Podstawowa Nr 1, ul. Szpitalna 9, 41-940 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1196";"1299";"453";"743";"1";"8";"0";"0";"0";"0";"0";"0";"0";"743";"0";"0";"743";"10";"3";"7";"0";"733";"157";"194";"91";"291"
"7d02-d5c7-d10d-b40f-8f8c-b1a4-5de2-939c";"247101";"74";"19";"miasto";"stały";"Miejska Szkoła Podstawowa Nr 12 im. Jana Demarczyka, ul. Związkowa 14, 41-949 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1346";"1444";"463";"883";"2";"1";"0";"0";"0";"0";"0";"0";"0";"883";"0";"0";"883";"17";"1";"16";"0";"866";"161";"230";"99";"376"
"bda0-431f-82bb-cf99-d751-01c5-892b-edfa";"247101";"74";"20";"miasto";"stały";"Ośrodek Kultury ""Andaluzja"", ul. Oświęcimska 45, 41-949 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1250";"1385";"362";"888";"2";"4";"0";"0";"0";"0";"0";"0";"0";"888";"0";"0";"888";"16";"5";"11";"0";"872";"151";"164";"102";"455"
"1c9d-0579-b164-3f41-7d67-4ccc-6465-82fa";"247101";"74";"21";"miasto";"stały";"Zespół Szkół Nr 1, ul. Marii Curie-Skłodowskiej 49, 41-949 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1051";"1132";"263";"788";"2";"0";"0";"0";"0";"0";"0";"0";"0";"788";"0";"0";"788";"14";"1";"13";"0";"774";"127";"178";"115";"354"
"6a51-8b3d-1a1d-c2bd-929f-c95d-89e1-29c6";"247101";"74";"22";"miasto";"stały";"Zespół Szkół Nr 1, ul. Marii Curie-Skłodowskiej 49, 41-949 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1016";"1143";"255";"761";"0";"1";"0";"0";"0";"0";"0";"0";"0";"761";"0";"0";"761";"14";"3";"11";"0";"747";"146";"179";"84";"338"
"f1a5-ed0f-5203-eb19-ab8f-cd44-9710-bcb1";"247101";"74";"23";"miasto";"stały";"Miejska Szkoła Podstawowa Nr 13 im. Powstańców Śląskich, ul. Marii Curie-Skłodowskiej 108, 41-949 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1300";"1446";"370";"930";"0";"2";"0";"0";"0";"0";"0";"0";"0";"930";"0";"0";"930";"21";"14";"7";"0";"909";"191";"214";"85";"419"
"82ff-0dac-6f34-e458-2f55-3e91-8daa-20be";"247101";"74";"24";"miasto";"stały";"Miejska Szkoła Podstawowa Nr 13 im. Powstańców Śląskich, ul. Marii Curie-Skłodowskiej 108, 41-949 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1350";"1478";"380";"970";"1";"4";"0";"0";"0";"0";"0";"0";"0";"970";"0";"0";"970";"17";"3";"14";"0";"953";"210";"236";"93";"414"
"03d6-11c6-b03b-770b-f215-f6df-64cb-fc00";"247101";"74";"25";"miasto";"stały";"Miejska Szkoła Podstawowa Nr 14, ul. Biskupa Herberta Bednorza 29/31, 41-946 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1600";"1752";"738";"862";"1";"2";"0";"0";"0";"0";"0";"0";"0";"862";"0";"0";"862";"27";"10";"17";"0";"835";"131";"156";"117";"431"
"03af-7291-c528-480a-e067-c449-475a-e443";"247101";"74";"26";"miasto";"stały";"Miejska Szkoła Podstawowa Nr 15 im. Powstańców Śląskich, ul. Franciszka Kotuchy 40, 41-946 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1400";"1518";"557";"843";"0";"0";"0";"0";"0";"0";"0";"0";"0";"843";"0";"0";"843";"32";"2";"30";"0";"811";"134";"165";"121";"391"
"f262-fd7c-c06d-ca5f-38fb-103d-1b38-df7f";"247101";"74";"27";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 2, ul. Rycerska 15a, 41-948 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1300";"1411";"371";"929";"4";"7";"0";"0";"0";"0";"0";"0";"0";"929";"0";"0";"929";"18";"4";"14";"0";"911";"143";"223";"127";"418"
"b224-c93f-b8fd-dee3-b6dc-5dcc-ef07-36bf";"247101";"74";"28";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 2, ul. Rycerska 15a, 41-948 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"1601";"1751";"457";"1144";"2";"2";"0";"0";"0";"0";"0";"0";"0";"1144";"0";"0";"1144";"28";"8";"20";"0";"1116";"168";"255";"177";"516"
"abbf-7f5b-a717-59dd-4efb-a9e5-b09b-e9a9";"247101";"74";"29";"miasto";"dom pomocy społecznej";"Zakład Opiekuńczo-Leczniczy, ul. ks. Jana Ficka 1, 41-940 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"84";"75";"53";"31";"0";"2";"0";"0";"0";"0";"0";"0";"0";"31";"0";"0";"31";"0";"0";"0";"0";"31";"4";"6";"2";"19"
"f472-b295-509d-5e55-5e99-ff6a-2db6-69e7";"247101";"74";"30";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Teodora Trautmana 4, 41-946 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"132";"91";"71";"61";"0";"0";"0";"0";"0";"0";"0";"0";"0";"61";"0";"0";"61";"15";"2";"13";"0";"46";"13";"6";"3";"24"
"28a2-7c63-5e40-cfda-0693-652c-0b28-53a8";"247101";"74";"31";"miasto";"zakład leczniczy";"Samodzielny Publiczny Wojewódzki Szpital Chirurgii Urazowej im. Dra J. Daaba, ul. Bytomska 62, 41-940 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"230";"189";"123";"107";"0";"6";"0";"0";"0";"0";"0";"0";"0";"107";"0";"0";"107";"4";"1";"3";"0";"103";"18";"31";"10";"44"
"3a1f-6c20-fb6f-cc0b-383e-19a6-7414-5983";"247101";"74";"32";"miasto";"zakład leczniczy";"Szpital Miejski pw. Św. Łukasza, ul. Szpitalna 11, 41-940 Piekary Śląskie";"m. Piekary Śląskie";"Piekary Śląskie";"śląskie";"134";"76";"85";"49";"0";"1";"0";"0";"0";"0";"0";"0";"0";"49";"0";"0";"49";"2";"0";"2";"0";"47";"5";"9";"8";"25"
"6ed5-52fb-b22f-6b78-998f-b889-9475-41ea";"247201";"74";"1";"miasto";"stały";"Szkoła Podstawowa nr 28, ul. Ryszarda Sprusa 4, 41-700 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"1300";"1403";"735";"565";"2";"3";"0";"0";"0";"0";"0";"0";"0";"565";"0";"0";"565";"4";"1";"3";"0";"561";"77";"119";"89";"276"
"3f89-b3b5-00ee-3bbc-9bbe-b375-9d8e-ad79";"247201";"74";"2";"miasto";"stały";"Szkoła Podstawowa nr 28, ul. Ryszarda Sprusa 4, 41-700 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"950";"1037";"529";"421";"0";"1";"0";"0";"0";"0";"0";"0";"0";"421";"0";"0";"421";"11";"5";"6";"0";"410";"75";"94";"59";"182"
"8cfd-aeec-6398-7485-b45a-a454-5897-f1e5";"247201";"74";"3";"miasto";"stały";"Szkoła Podstawowa Nr 41, ul. Jana Gierałtowskiego 15, 41-700 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"1350";"1490";"468";"882";"0";"0";"0";"0";"0";"0";"0";"0";"0";"882";"0";"0";"882";"18";"3";"15";"0";"864";"151";"191";"176";"346"
"6a10-1482-879a-b8dc-5fee-5f7e-d18a-c94a";"247201";"74";"4";"miasto";"stały";"Szkoła Podstawowa Nr 41, ul. Jana Gierałtowskiego 15, 41-700 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"1000";"1112";"425";"575";"0";"2";"0";"0";"0";"0";"0";"0";"0";"575";"0";"0";"575";"8";"3";"5";"0";"567";"88";"132";"105";"242"
"126b-8ec5-efc1-d717-e2d3-0c85-fbe0-d332";"247201";"74";"5";"miasto";"stały";"I Liceum Ogólnokształcące im. Adama Mickiewicza, ul. Adama Mickiewicza 15, 41-700 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"950";"1008";"366";"584";"0";"5";"0";"0";"0";"0";"0";"0";"0";"584";"0";"0";"584";"11";"2";"9";"0";"573";"104";"142";"90";"237"
"47a3-fb6f-4e9f-c080-8ccd-9279-7b38-13fc";"247201";"74";"6";"miasto";"stały";"I Liceum Ogólnokształcące im. Adama Mickiewicza, ul. Adama Mickiewicza 15, 41-700 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"900";"992";"323";"577";"0";"2";"0";"0";"0";"0";"0";"0";"0";"577";"0";"0";"577";"6";"3";"3";"0";"571";"103";"152";"65";"251"
"c3c8-faf8-4dc6-3e8c-4328-aeb9-7dfb-159d";"247201";"74";"7";"miasto";"stały";"Zespół Szkół Nr 7, ul. Wiktora Bujoczka 2, 41-700 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"1400";"1545";"731";"669";"0";"5";"0";"0";"0";"0";"0";"0";"0";"669";"0";"0";"669";"11";"0";"11";"0";"658";"110";"164";"101";"283"
"ff3d-6a7d-4ba1-f5dc-a40b-b239-70c4-c3bb";"247201";"74";"8";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Cypriana K. Norwida 10, 41-700 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"550";"608";"131";"419";"0";"0";"0";"0";"0";"0";"0";"0";"0";"419";"0";"0";"419";"4";"2";"2";"0";"415";"89";"107";"43";"176"
"8950-08f9-2120-07e5-a40b-2314-f297-5d11";"247201";"74";"9";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Cypriana K. Norwida 10, 41-700 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"1400";"1529";"422";"978";"1";"1";"0";"0";"0";"0";"0";"0";"0";"978";"0";"0";"978";"23";"7";"16";"0";"955";"209";"278";"115";"353"
"0333-d5d7-e61e-cced-355e-197b-1310-e65a";"247201";"74";"10";"miasto";"stały";"Dyrekcja Rudzkiej Spółdzielni Mieszkaniowej, ul. Magazynowa 12, 41-700 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"620";"687";"180";"440";"0";"1";"0";"0";"0";"0";"0";"0";"0";"440";"0";"0";"440";"5";"0";"5";"0";"435";"64";"133";"51";"187"
"7463-5ef2-c139-b0f1-01e1-a22e-f0f3-1e38";"247201";"74";"11";"miasto";"stały";"Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Lekarska s. c, ul. Wawelska 7, 41-700 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"1600";"1740";"536";"1064";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1064";"0";"0";"1064";"9";"2";"7";"0";"1055";"173";"250";"139";"493"
"107a-2e49-402d-4cf8-48dd-d803-06e6-728e";"247201";"74";"12";"miasto";"stały";"Zespół Miejskich Przedszkoli nr 1, ul. Astrów 5, 41-700 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"1648";"1848";"522";"1126";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1126";"0";"0";"1126";"18";"6";"12";"0";"1108";"185";"301";"153";"469"
"dd05-dbe4-66c6-58f9-fdfa-f02c-7136-4dc6";"247201";"74";"13";"miasto";"stały";"Szkoła Podstawowa Nr 30, ul. Chryzantem 10, 41-700 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"900";"989";"250";"650";"1";"1";"0";"0";"0";"0";"0";"0";"0";"650";"0";"0";"650";"11";"5";"6";"0";"639";"111";"149";"107";"272"
"15cf-60be-5e24-c832-fea3-a5f8-3040-8cac";"247201";"74";"14";"miasto";"stały";"Szkoła Podstawowa Nr 30, ul. Chryzantem 10, 41-700 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"1050";"1116";"349";"701";"0";"2";"0";"0";"0";"0";"0";"0";"0";"701";"0";"0";"701";"7";"2";"5";"0";"694";"113";"190";"106";"285"
"daa7-f0b3-970e-29b7-870b-dabe-80f3-9389";"247201";"74";"15";"miasto";"stały";"Dom Pomocy Społecznej ""Senior"", ul. Aleksandra Puszkina 7, 41-712 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"1751";"1925";"964";"787";"0";"4";"0";"0";"0";"0";"0";"0";"0";"787";"0";"0";"787";"17";"3";"14";"0";"770";"118";"177";"128";"347"
"f2e8-11e9-9660-96c6-9b12-de35-a38d-216e";"247201";"74";"16";"miasto";"stały";"Szkoła Podstawowa Nr 6, ul. Bytomska 8, 41-712 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"1250";"1390";"510";"740";"1";"2";"0";"0";"0";"0";"0";"0";"0";"740";"0";"0";"740";"11";"3";"8";"0";"729";"105";"188";"143";"293"
"579b-5c54-873a-09da-a5dc-b503-345a-774c";"247201";"74";"17";"miasto";"stały";"Szkoła Podstawowa Nr 6, ul. Bytomska 8, 41-712 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"1351";"1471";"335";"1016";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1016";"0";"0";"1016";"26";"6";"20";"0";"990";"182";"271";"162";"375"
"9682-72a2-962c-19ca-173a-c827-817f-97c8";"247201";"74";"18";"miasto";"stały";"Szkoła Podstawowa nr 40 (Budynek B), ul. Bytomska 1, 41-712 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"1200";"1317";"342";"858";"0";"1";"0";"0";"0";"0";"0";"0";"0";"858";"0";"0";"858";"22";"7";"15";"0";"836";"150";"275";"131";"280"
"67a5-3f61-9826-946f-13a3-86f8-7558-4e11";"247201";"74";"19";"miasto";"stały";"Szkoła Podstawowa nr 40 (Budynek B), ul. Bytomska 1, 41-712 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"850";"951";"193";"657";"1";"7";"0";"0";"0";"0";"0";"0";"0";"657";"0";"0";"657";"11";"4";"7";"0";"646";"115";"190";"105";"236"
"2f06-6612-d477-05bd-9b49-d011-5931-6070";"247201";"74";"20";"miasto";"stały";"Przychodnia Rejonowa Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Wincentego Lipa 3, 41-712 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"1400";"1536";"543";"857";"0";"5";"0";"0";"0";"0";"0";"0";"0";"856";"0";"0";"856";"15";"6";"9";"0";"841";"146";"260";"133";"302"
"289e-0e38-d2c3-e8cd-5b76-922d-083c-4355";"247201";"74";"21";"miasto";"stały";"Osiedlowy Dom Kultury RSM ""Jowisz"", ul. Joanny 12, 41-712 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"1450";"1580";"490";"960";"1";"15";"0";"0";"0";"0";"0";"0";"0";"960";"0";"0";"960";"12";"3";"9";"0";"948";"171";"258";"147";"372"
"90e9-1cce-3262-a44e-2de6-2121-c2b8-c3c9";"247201";"74";"22";"miasto";"stały";"Szkoła Podstawowa Nr 40 (Budynek A), ul. Joanny 13, 41-712 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"1550";"1698";"460";"1090";"3";"11";"0";"0";"0";"0";"0";"0";"0";"1090";"0";"0";"1090";"20";"7";"13";"0";"1070";"171";"263";"158";"478"
"e94d-227a-5c05-d3cf-060b-b36d-8c8f-1962";"247201";"74";"23";"miasto";"stały";"Szkoła Podstawowa Nr 40 (Budynek A), ul. Joanny 13, 41-712 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"1301";"1422";"555";"746";"3";"2";"0";"0";"0";"0";"0";"0";"0";"746";"0";"0";"746";"8";"3";"5";"0";"738";"126";"194";"110";"308"
"cabd-50ab-13f2-d798-dcfb-a721-a202-4d29";"247201";"74";"24";"miasto";"stały";"Szkoła Podstawowa Nr 40 (Budynek A), ul. Joanny 13, 41-712 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"1100";"1227";"377";"723";"0";"0";"0";"0";"0";"0";"0";"0";"0";"723";"0";"0";"723";"18";"7";"11";"0";"705";"105";"196";"124";"280"
"7bb6-d5b4-dac8-b793-ef8f-0876-d620-6034";"247201";"74";"25";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 1, ul. Węglowa 8, 41-709 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"600";"658";"270";"330";"0";"0";"0";"0";"0";"0";"0";"0";"0";"330";"0";"0";"330";"9";"0";"9";"0";"321";"34";"68";"48";"171"
"a3e9-513e-fda1-c582-fecd-3ea6-ee19-87f3";"247201";"74";"26";"miasto";"stały";"Zespół Szkół Nr 1, ul. Gen. Hallera 6, 41-709 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"1600";"1746";"907";"693";"0";"5";"0";"0";"0";"0";"0";"0";"0";"693";"0";"0";"693";"13";"3";"10";"0";"680";"82";"158";"109";"331"
"d9dc-4103-9253-dc49-0fca-98b0-7800-fd0d";"247201";"74";"27";"miasto";"stały";"Urząd Miasta (budynek B), ul. Piotra Niedurnego 46, 41-709 Ruda Śląska";"m. Ruda Śląska";"Ruda Śląska";"śląskie";"1050";"1146";"425";"625";"0";"7";"0";"0";"0";"0";"0";"0";"0";"625";"0";"0";"625";"18";"5";"13";"0";"607";"102";"127";"77";"301"
