"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Magdalena Maria KOCHAN";"Edward KOSMAL"
"9abb-c87a-e2e2-1b80-8120-bf08-e733-ef78";"320502";"98";"11";"miasto";"stały";"Świetlica Towarzystwa Budownictwa Społecznego Sp. z o. o. w Gryficach, ul. Wiejska 8, 72-300 Gryfice";"gm. Gryfice";"gryficki";"zachodniopomorskie";"951";"931";"532";"419";"0";"1";"0";"0";"0";"0";"0";"0";"0";"419";"0";"0";"419";"23";"9";"14";"0";"396";"246";"150"
"4cfa-b165-7587-baa0-62d4-baa3-ec71-0bbc";"320502";"98";"12";"miasto";"stały";"Gryficki Dom Kultury, ul. Niepodległości 53, 72-300 Gryfice";"gm. Gryfice";"gryficki";"zachodniopomorskie";"1640";"1791";"680";"960";"5";"11";"0";"0";"0";"0";"0";"0";"0";"960";"0";"0";"960";"33";"5";"28";"0";"927";"538";"389"
"9199-fedd-41fa-f238-5141-8ecf-f1ca-06fc";"320502";"98";"13";"miasto";"stały";"Szkoła Podstawowa nr 3, Budynek B, ul. Marszałka Józefa Piłsudskiego 1, 72-300 Gryfice";"gm. Gryfice";"gryficki";"zachodniopomorskie";"1059";"1151";"480";"579";"0";"1";"0";"0";"0";"0";"0";"0";"0";"579";"0";"0";"579";"17";"5";"12";"0";"562";"340";"222"
"5095-08c8-df78-d57a-b2ad-12bf-ebaa-4cbb";"320502";"98";"14";"miasto";"stały";"Szkoła Podstawowa Nr 4, Budynek B, ul. 3 Maja 8, 72-300 Gryfice";"gm. Gryfice";"gryficki";"zachodniopomorskie";"1187";"1270";"454";"733";"0";"8";"0";"0";"0";"0";"0";"0";"0";"733";"0";"0";"733";"21";"6";"15";"0";"712";"494";"218"
"f3d3-49e7-2c34-bf65-55a2-0c33-8fcf-59a3";"320502";"98";"15";"miasto";"zakład leczniczy";"SPZZOZ-Zachodniopomorski Szpital Specjalistyczny, ul. Niechorska 27, 72-300 Gryfice";"gm. Gryfice";"gryficki";"zachodniopomorskie";"262";"254";"208";"54";"0";"0";"0";"0";"0";"0";"0";"0";"0";"54";"0";"0";"54";"0";"0";"0";"0";"54";"35";"19"
"9988-71b4-94d6-ad2d-92c9-e05f-e8ed-8ed1";"320502";"98";"16";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Kościuszki 71, 72-300 Gryfice";"gm. Gryfice";"gryficki";"zachodniopomorskie";"55";"48";"34";"21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21";"0";"0";"21";"1";"0";"1";"0";"20";"14";"6"
"b600-7a0a-6712-3c71-8e4a-f27a-0d82-8d12";"320502";"98";"17";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Kościuszki 35, 72-300 Gryfice";"gm. Gryfice";"gryficki";"zachodniopomorskie";"55";"61";"25";"30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30";"0";"0";"30";"7";"0";"7";"0";"23";"8";"15"
"0942-88ab-d02d-a636-09e4-d4ce-051e-b3dd";"320503";"98";"1";"wieś";"stały";"Gminny Klub Kultury w Karnicach, ul. Osiedlowa 18, 72-343 Karnice";"gm. Karnice";"gryficki";"zachodniopomorskie";"1360";"1461";"644";"716";"3";"5";"0";"0";"0";"0";"0";"0";"0";"716";"0";"0";"716";"37";"4";"33";"0";"679";"313";"366"
"f93a-7ccb-e350-27e5-b644-936f-42a5-e48d";"320503";"98";"2";"wieś";"stały";"Świetlica Wiejska w Cerkwicy, ul. Szkolna 6, 72-342 Cerkwica";"gm. Karnice";"gryficki";"zachodniopomorskie";"1599";"1748";"752";"847";"3";"3";"0";"0";"0";"0";"0";"0";"0";"846";"0";"0";"846";"17";"2";"15";"0";"829";"416";"413"
"8b0e-cfdd-b19b-c288-4285-7542-d391-5272";"320504";"98";"1";"miasto";"stały";"Dom Strażaka, ul. Tadeusza Kościuszki 8, 72-310 Płoty";"gm. Płoty";"gryficki";"zachodniopomorskie";"1600";"1765";"669";"931";"1";"2";"0";"0";"0";"0";"0";"0";"0";"931";"0";"0";"931";"28";"7";"21";"0";"903";"513";"390"
"eee2-e32b-cea8-5456-cde6-7cce-44c6-0127";"320504";"98";"2";"miasto";"stały";"Dom Kultury, ul. Tadeusza Kościuszki 7, 72-310 Płoty";"gm. Płoty";"gryficki";"zachodniopomorskie";"1330";"1433";"598";"732";"1";"1";"0";"0";"0";"0";"0";"0";"0";"732";"0";"0";"732";"27";"10";"17";"0";"705";"393";"312"
"c189-4f50-b44d-3633-1a52-45d8-eeb3-9473";"320504";"98";"3";"wieś";"stały";"Świetlica Wiejska, ul. Wiejska 10, 72-310 Płoty";"gm. Płoty";"gryficki";"zachodniopomorskie";"694";"765";"426";"268";"1";"0";"0";"0";"0";"0";"0";"0";"0";"268";"0";"0";"268";"6";"1";"5";"0";"262";"133";"129"
"d570-32d5-42e7-79fc-b6fc-1e58-c515-f011";"320504";"98";"4";"wieś";"stały";"Świetlica Wiejska, Lisowo 5A, 72-310 Płoty";"gm. Płoty";"gryficki";"zachodniopomorskie";"380";"412";"261";"119";"0";"0";"0";"0";"0";"0";"0";"0";"0";"119";"0";"0";"119";"2";"0";"2";"0";"117";"58";"59"
"54e1-597c-de0d-962b-9adc-a466-8053-1f96";"320504";"98";"5";"wieś";"stały";"Świetlica Wiejska, Sowno 11A, 72-310 Płoty";"gm. Płoty";"gryficki";"zachodniopomorskie";"430";"479";"216";"214";"0";"1";"0";"0";"0";"0";"0";"0";"0";"214";"0";"0";"214";"2";"0";"2";"0";"212";"84";"128"
"b05b-b4e5-33ea-68a6-d268-38c2-662c-accb";"320504";"98";"6";"wieś";"stały";"Świetlica Wiejska, Mechowo 22A, 72-310 Płoty";"gm. Płoty";"gryficki";"zachodniopomorskie";"548";"603";"324";"224";"0";"0";"0";"0";"0";"0";"0";"0";"0";"224";"0";"0";"224";"2";"0";"2";"0";"222";"81";"141"
"330b-284a-4696-9bc0-3d79-6193-a098-4432";"320504";"98";"7";"wieś";"stały";"Świetlica Wiejska, Wyszobór 38A, 72-310 Płoty";"gm. Płoty";"gryficki";"zachodniopomorskie";"440";"470";"202";"238";"0";"0";"0";"0";"0";"0";"0";"0";"0";"238";"0";"0";"238";"9";"0";"9";"0";"229";"105";"124"
"78b1-75d2-dd7d-7412-2f02-9649-9300-480e";"320504";"98";"8";"wieś";"stały";"Świetlica Wiejska, Modlimowo 18A, 72-310 Płoty";"gm. Płoty";"gryficki";"zachodniopomorskie";"500";"563";"285";"215";"0";"3";"0";"0";"0";"0";"0";"0";"0";"215";"0";"0";"215";"3";"2";"1";"0";"212";"105";"107"
"0f8c-e47d-bef9-5796-e643-ffc8-29ba-2d8d";"320504";"98";"9";"wieś";"stały";"Świetlica Wiejska, Pniewo 33A, 72-310 Płoty";"gm. Płoty";"gryficki";"zachodniopomorskie";"400";"447";"236";"164";"0";"4";"0";"0";"0";"0";"0";"0";"0";"164";"0";"0";"164";"3";"0";"3";"0";"161";"75";"86"
"7fee-248d-a623-f7ba-b92b-ce59-2b1f-6f61";"320504";"98";"10";"miasto";"zakład karny";"Zakład Karny Oddział w Płotach, ul. Koszalińska 2, 72-310 Płoty";"gm. Płoty";"gryficki";"zachodniopomorskie";"190";"258";"58";"132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"132";"0";"0";"132";"11";"3";"8";"0";"121";"72";"49"
"ef78-9ab7-584a-edfc-4098-8458-a102-828d";"320507";"98";"1";"wieś";"stały";"Kompleks Rekreacyjno-Sportowy, ul. Moniuszki 8, 72-346 Pobierowo";"gm. Rewal";"gryficki";"zachodniopomorskie";"1000";"1196";"189";"811";"0";"110";"0";"0";"0";"0";"0";"0";"0";"809";"0";"0";"809";"27";"10";"17";"0";"782";"487";"295"
"ff30-f9e5-7407-a83c-c342-f688-4f35-7aab";"320507";"98";"2";"wieś";"stały";"Sala Wystawiennicza w Rewalu, ul. Słowackiego 1, 72-344 Rewal";"gm. Rewal";"gryficki";"zachodniopomorskie";"999";"1140";"239";"760";"1";"68";"0";"0";"0";"0";"0";"0";"0";"759";"0";"3";"756";"23";"9";"14";"0";"733";"487";"246"
"46a3-d0cf-7dc4-e613-dd3d-a1fb-e421-f98e";"320507";"98";"3";"wieś";"stały";"Muzeum Rybołówstwa Morskiego, Aleja Bursztynowa 28, 72-350 Niechorze";"gm. Rewal";"gryficki";"zachodniopomorskie";"890";"1169";"120";"770";"2";"197";"0";"0";"0";"0";"0";"0";"0";"769";"0";"0";"769";"26";"7";"19";"0";"743";"487";"256"
"74d9-0bf7-f51a-f6f7-59f8-cd84-4140-c144";"320508";"98";"1";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Kamieniecka 16, 72-320 Trzebiatów";"gm. Trzebiatów";"gryficki";"zachodniopomorskie";"800";"865";"318";"482";"0";"1";"0";"0";"0";"0";"0";"0";"0";"482";"0";"0";"482";"19";"4";"15";"0";"463";"328";"135"
"d705-a00f-c1ca-08bc-7a2e-5410-e0c3-ad58";"320508";"98";"2";"miasto";"stały";"Zespół Szkół, pl. Lipowy 15, 72-320 Trzebiatów";"gm. Trzebiatów";"gryficki";"zachodniopomorskie";"1700";"1829";"684";"1016";"4";"7";"0";"0";"0";"0";"0";"0";"0";"1016";"0";"0";"1016";"49";"9";"40";"0";"967";"597";"370"
"be3e-1831-a437-4a4a-01f3-1b45-46e8-ed13";"320508";"98";"3";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Wodna 2, 72-320 Trzebiatów";"gm. Trzebiatów";"gryficki";"zachodniopomorskie";"1798";"1955";"800";"998";"4";"17";"0";"0";"0";"0";"0";"0";"0";"997";"0";"0";"997";"35";"0";"35";"0";"962";"562";"400"
"a302-580b-e65f-6d91-7ed6-2a00-0228-633a";"320508";"98";"4";"miasto";"stały";"Trzebiatowski Ośrodek Kultury, ul. Wojska Polskiego 67, 72-320 Trzebiatów";"gm. Trzebiatów";"gryficki";"zachodniopomorskie";"1370";"1482";"618";"752";"2";"2";"0";"0";"0";"0";"0";"0";"0";"752";"0";"0";"752";"22";"5";"17";"0";"730";"395";"335"
"2db6-df97-5a81-61bf-3969-cb27-bc0f-4fbc";"320508";"98";"5";"miasto";"stały";"Szkoła Podstawowa Nr 2, Długa 11, 72-320 Trzebiatów";"gm. Trzebiatów";"gryficki";"zachodniopomorskie";"1450";"1569";"679";"771";"0";"3";"0";"0";"0";"0";"0";"0";"0";"771";"0";"0";"771";"24";"3";"21";"0";"747";"469";"278"
"711b-c651-08f2-0ef9-0ded-6e8e-0251-a080";"320508";"98";"6";"wieś";"stały";"Świetlica Wiejska, Rogozina 25, 72-350 Niechorze";"gm. Trzebiatów";"gryficki";"zachodniopomorskie";"590";"649";"313";"277";"1";"2";"0";"0";"0";"0";"0";"0";"0";"277";"0";"0";"277";"12";"0";"12";"0";"265";"98";"167"
"be2e-d3fe-ed8b-82df-e141-e19b-8674-de6c";"320508";"98";"7";"wieś";"stały";"Świetlica Wiejska, Mirosławice 26, 72-320 Trzebiatów";"gm. Trzebiatów";"gryficki";"zachodniopomorskie";"530";"585";"231";"299";"4";"0";"0";"0";"0";"0";"0";"0";"0";"299";"0";"0";"299";"9";"2";"7";"0";"290";"125";"165"
"e23d-eea6-ddd2-852b-03c0-ad3b-4b68-835d";"320508";"98";"8";"wieś";"stały";"Świetlica Wiejska, Gołańcz Pomorska 54, 72-320 Trzebiatów";"gm. Trzebiatów";"gryficki";"zachodniopomorskie";"520";"570";"282";"238";"0";"1";"0";"0";"0";"0";"0";"0";"0";"238";"0";"0";"238";"11";"0";"11";"0";"227";"94";"133"
"e5d3-7101-966a-aed1-9bab-3ecd-5b6a-a8a2";"320508";"98";"9";"wieś";"stały";"Świetlica Wiejska, Trzebusz 24A, 72-320 Trzebiatów";"gm. Trzebiatów";"gryficki";"zachodniopomorskie";"950";"1071";"509";"441";"0";"27";"0";"0";"0";"0";"0";"0";"0";"440";"0";"0";"440";"10";"4";"6";"0";"430";"240";"190"
"35ee-9a13-87cd-06b9-f54b-b2f7-a655-9121";"320508";"98";"10";"wieś";"stały";"Szkoła Podstawowa z Oddziałami Intergarcyjnymi, Al. Tysiąclecia 32, 72-330 Mrzeżyno";"gm. Trzebiatów";"gryficki";"zachodniopomorskie";"1380";"1720";"289";"1091";"2";"244";"0";"0";"0";"0";"0";"0";"0";"1091";"0";"0";"1091";"38";"15";"23";"0";"1053";"722";"331"
"4bf3-975f-eed4-fad8-699a-3351-55db-6fbf";"320508";"98";"11";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Jaromin 50, 72-320 Trzebiatów";"gm. Trzebiatów";"gryficki";"zachodniopomorskie";"220";"211";"149";"71";"0";"0";"0";"0";"0";"0";"0";"0";"0";"71";"0";"0";"71";"5";"1";"4";"0";"66";"29";"37"
"a819-939e-7575-9649-cad3-a096-1c96-20f4";"320601";"98";"1";"wieś";"stały";"Szkoła Podstawowa, ul. Sportowa 1, 74-110 Banie";"gm. Banie";"gryfiński";"zachodniopomorskie";"1380";"1499";"547";"833";"1";"4";"0";"0";"0";"0";"0";"0";"0";"833";"0";"0";"833";"25";"3";"22";"0";"808";"433";"375"
"75ca-bf0e-d74a-2c45-2d05-4d06-715c-a8a6";"320601";"98";"2";"wieś";"stały";"Międzynarodowe Centrum Turystyki, Kultury i Sportu w Baniach, ul. Skośna 7, 74-110 Banie";"gm. Banie";"gryfiński";"zachodniopomorskie";"960";"1046";"590";"370";"0";"1";"0";"0";"0";"0";"0";"0";"0";"370";"0";"0";"370";"9";"1";"8";"0";"361";"174";"187"
"f4df-7f18-fdfc-4396-316b-9811-ff68-0c9f";"320601";"98";"3";"wieś";"stały";"Szkoła Podstawowa, Lubanowo 53, 74-111 Lubanowo";"gm. Banie";"gryfiński";"zachodniopomorskie";"1137";"1252";"653";"484";"0";"2";"0";"0";"0";"0";"0";"0";"0";"484";"0";"0";"484";"22";"2";"20";"0";"462";"210";"252"
"ef4e-aace-d83a-de02-6fd3-6da0-1d6e-5771";"320601";"98";"4";"wieś";"stały";"Szkoła Podstawowa, Swobnica 12, 74-110 Banie";"gm. Banie";"gryfiński";"zachodniopomorskie";"1060";"1164";"596";"464";"1";"4";"0";"0";"0";"0";"0";"0";"0";"463";"0";"0";"463";"22";"5";"17";"0";"441";"229";"212"
"9710-0e8b-983f-63e0-ea6b-8b61-6a1d-4ad3";"320602";"98";"1";"miasto";"stały";"Zespół Szkolno-Przedszkolny w Cedyni, ul. Mieszka I 21, 74-520 Cedynia";"gm. Cedynia";"gryfiński";"zachodniopomorskie";"1150";"1254";"547";"603";"1";"11";"0";"0";"0";"0";"0";"0";"0";"601";"0";"0";"601";"31";"6";"25";"0";"570";"369";"201"
"f1f3-9b0a-760f-9484-6c6b-1786-c80f-b179";"320602";"98";"2";"wieś";"stały";"Zespół Szkolno-Przedszkolny, ul. Mieszka I 21, 74-520 Cedynia";"gm. Cedynia";"gryfiński";"zachodniopomorskie";"1470";"1610";"869";"601";"0";"1";"0";"0";"0";"0";"0";"0";"0";"601";"0";"0";"601";"21";"3";"18";"0";"580";"347";"233"
"13fb-054f-801a-3e1f-fe55-d859-092b-9709";"320602";"98";"3";"wieś";"stały";"Szkoła Podstawowa, Piasek 63B, 74-520 Cedynia";"gm. Cedynia";"gryfiński";"zachodniopomorskie";"500";"547";"218";"282";"1";"3";"0";"0";"0";"0";"0";"0";"0";"282";"0";"0";"282";"9";"1";"8";"0";"273";"173";"100"
"857e-1680-52e0-e472-0fda-6513-7e9c-e485";"320603";"98";"1";"miasto";"stały";"Internat Zespołu Szkół Ponadpodstawowych, ul. Żółkiewskiego 5, 74-500 Chojna";"gm. Chojna";"gryfiński";"zachodniopomorskie";"1290";"1401";"502";"788";"2";"7";"0";"0";"0";"0";"0";"0";"0";"788";"0";"0";"788";"22";"6";"16";"0";"766";"450";"316"
"a020-bbb1-9751-60ff-3f10-75e4-1228-99b1";"320603";"98";"2";"miasto";"stały";"Centrum Kultury (Biblioteka), ul. Plac Konstytucji 3 Maja 1, 74-500 Chojna";"gm. Chojna";"gryfiński";"zachodniopomorskie";"1330";"1453";"508";"822";"0";"13";"0";"0";"0";"0";"0";"0";"0";"822";"0";"0";"822";"29";"8";"21";"0";"793";"443";"350"
"280f-2e08-fe95-8ea8-6033-b873-3604-9cec";"320603";"98";"3";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Szkolna 15, 74-500 Chojna";"gm. Chojna";"gryfiński";"zachodniopomorskie";"1280";"1390";"522";"758";"0";"3";"0";"0";"0";"0";"0";"0";"0";"758";"0";"0";"758";"28";"7";"21";"0";"730";"472";"258"
"4eea-58c2-c6f1-15b5-c1a2-efaf-3eb6-f88d";"320603";"98";"4";"miasto";"stały";"Szkoła Podstawowa Nr 2, Żwirki i Wigury 10, 74-500 Chojna";"gm. Chojna";"gryfiński";"zachodniopomorskie";"1290";"1421";"533";"757";"0";"0";"0";"0";"0";"0";"0";"0";"0";"757";"0";"0";"757";"42";"13";"29";"0";"715";"494";"221"
"145a-a0b3-cbd7-53f6-48f5-00a7-60ce-4e0d";"320603";"98";"5";"wieś";"stały";"Świetlica Wiejska w Mętnie, Mętno 59, 74-500 Chojna";"gm. Chojna";"gryfiński";"zachodniopomorskie";"350";"383";"198";"152";"0";"0";"0";"0";"0";"0";"0";"0";"0";"152";"0";"0";"152";"6";"2";"4";"0";"146";"87";"59"
"95ab-227f-3536-bc56-96a4-f41b-d69e-397d";"320603";"98";"6";"wieś";"stały";"Szkoła Podstawowa, Krzymów 29, 74-500 Chojna";"gm. Chojna";"gryfiński";"zachodniopomorskie";"930";"1026";"508";"422";"0";"2";"0";"0";"0";"0";"0";"0";"0";"422";"0";"0";"422";"15";"3";"12";"0";"407";"187";"220"
"6945-6d69-3c83-06af-2c35-8d4d-9f71-a235";"320603";"98";"7";"wieś";"stały";"Szkoła Podstawowa, Grzybno 23, 74-500 Chojna";"gm. Chojna";"gryfiński";"zachodniopomorskie";"960";"1061";"515";"445";"0";"2";"0";"0";"0";"0";"0";"0";"0";"445";"0";"0";"445";"18";"4";"14";"0";"427";"194";"233"
"afd5-8829-2aec-d599-db5c-3526-a972-0efa";"320603";"98";"8";"wieś";"stały";"Szkoła Podstawowa, Nawodna 93, 74-500 Chojna";"gm. Chojna";"gryfiński";"zachodniopomorskie";"1150";"1271";"584";"566";"3";"0";"0";"0";"0";"0";"0";"0";"0";"566";"0";"0";"566";"24";"1";"23";"0";"542";"213";"329"
"d0aa-5971-9a27-bce8-ba65-6b92-e9b4-082a";"320603";"98";"9";"wieś";"stały";"Szkoła Podstawowa, Godków 33, 74-500 Chojna";"gm. Chojna";"gryfiński";"zachodniopomorskie";"580";"627";"262";"318";"0";"3";"0";"0";"0";"0";"0";"0";"0";"318";"0";"1";"317";"16";"8";"8";"0";"301";"161";"140"
"bed4-955e-0553-fc47-83b3-198b-2db1-5c55";"320603";"98";"10";"wieś";"stały";"Szkoła Podstawowa, Brwice 35, 74-500 Chojna";"gm. Chojna";"gryfiński";"zachodniopomorskie";"590";"636";"358";"232";"0";"1";"0";"0";"0";"0";"0";"0";"0";"232";"0";"0";"232";"17";"4";"13";"0";"215";"74";"141"
"991b-9244-e37b-8bed-6ae7-606a-1184-0e59";"320604";"98";"1";"miasto";"stały";"Gryfiński Dom Kultury w Gryfinie, ul. Szczecińska 17, 74-100 Gryfino";"gm. Gryfino";"gryfiński";"zachodniopomorskie";"960";"1039";"333";"627";"0";"6";"0";"0";"0";"0";"0";"0";"0";"627";"0";"2";"625";"25";"4";"21";"0";"600";"327";"273"
"e74d-3c02-c568-c07e-6e48-ffa3-f5f1-8eef";"320604";"98";"2";"miasto";"stały";"Przedszkole nr 2 im. Misia Uszatka w Gryfinie, ul. Bolesława Krzywoustego 5, 74-100 Gryfino";"gm. Gryfino";"gryfiński";"zachodniopomorskie";"1400";"1516";"514";"886";"0";"5";"0";"0";"0";"0";"0";"0";"0";"886";"0";"0";"886";"57";"20";"37";"0";"829";"476";"353"
"ebd6-4cfc-bf99-bfdd-76ff-3a0b-dda7-90f6";"320604";"98";"3";"miasto";"stały";"Przedszkole nr 4 im. Pszczółki Mai w Gryfinie, ul. Tadeusza Kościuszki 17, 74-100 Gryfino";"gm. Gryfino";"gryfiński";"zachodniopomorskie";"1400";"1520";"480";"920";"0";"1";"0";"0";"0";"0";"0";"0";"0";"918";"0";"0";"918";"37";"4";"33";"0";"881";"506";"375"
"7845-b943-f6b3-a855-abf8-e6b2-3e9d-8eac";"320604";"98";"4";"miasto";"stały";"I Liceum Ogólnokształcące im. Aleksandra Omieczyńskiego w Gryfinie, ul. Niepodległości 16, 74-100 Gryfino";"gm. Gryfino";"gryfiński";"zachodniopomorskie";"1270";"1370";"469";"801";"1";"5";"0";"0";"0";"0";"0";"0";"0";"801";"0";"0";"801";"39";"10";"29";"0";"762";"423";"339"
"f70a-c6a0-b140-3c01-cb57-fc73-042b-c945";"320604";"98";"5";"miasto";"stały";"Szkoła Podstawowa Nr 1 z Oddziałami Integracyjnymi im. Marii Dąbrowskiej w Gryfinie, ul. Łużycka 22, 74-100 Gryfino";"gm. Gryfino";"gryfiński";"zachodniopomorskie";"1285";"1362";"429";"856";"0";"3";"0";"0";"0";"0";"0";"0";"0";"856";"0";"0";"856";"42";"11";"31";"0";"814";"505";"309"
"bd67-f46e-4d62-2a02-648c-16a9-a78c-08cb";"320604";"98";"6";"miasto";"stały";"Zespół Szkół Ponadpodstawowych w Gryfinie, ul. Łużycka 91, 74-100 Gryfino";"gm. Gryfino";"gryfiński";"zachodniopomorskie";"1020";"1093";"310";"710";"0";"0";"0";"0";"0";"0";"0";"0";"0";"710";"0";"0";"710";"37";"7";"30";"0";"673";"410";"263"
"f515-f660-ea5a-f823-f37f-0714-1839-f266";"320604";"98";"7";"miasto";"stały";"Przedszkole nr 5 im. Calineczki w Gryfinie, ul. Stefana Żeromskiego 12, 74-101 Gryfino";"gm. Gryfino";"gryfiński";"zachodniopomorskie";"1240";"1363";"252";"988";"0";"9";"0";"0";"0";"0";"0";"0";"0";"988";"0";"0";"988";"37";"5";"32";"0";"951";"607";"344"
"9e5b-590a-ae96-45ee-4701-6fc7-3b2f-7754";"320604";"98";"8";"miasto";"stały";"Przedszkole nr 3 im. Kubusia Puchatka w Gryfinie, ul. Zygmunta Krasińskiego 29, 74-101 Gryfino";"gm. Gryfino";"gryfiński";"zachodniopomorskie";"1000";"1084";"291";"709";"0";"0";"0";"0";"0";"0";"0";"0";"0";"709";"0";"0";"709";"28";"28";"0";"0";"681";"389";"292"
"48b3-ec6b-8216-613c-dc19-439c-52d3-873b";"320604";"98";"9";"miasto";"stały";"Szkoła Podstawowa nr 3 w Gryfinie im. Noblistów Polskich, ul. Jarosława Iwaszkiewicza 70, 74-101 Gryfino";"gm. Gryfino";"gryfiński";"zachodniopomorskie";"1250";"1349";"323";"927";"0";"0";"0";"0";"0";"0";"0";"0";"0";"927";"0";"0";"927";"36";"5";"31";"0";"891";"527";"364"
"ce4e-9d9b-805e-dcba-010f-5e85-f4ee-b8d4";"320604";"98";"10";"miasto";"stały";"Biblioteka Publiczna Filia Górny Taras, ul. Zygmunta Krasińskiego 87a, 74-101 Gryfino";"gm. Gryfino";"gryfiński";"zachodniopomorskie";"1150";"1236";"330";"820";"0";"0";"0";"0";"0";"0";"0";"0";"0";"820";"0";"0";"820";"40";"8";"32";"0";"780";"443";"337"
"ce94-f7cc-a413-6cb8-8f7d-70eb-df1e-11d3";"320604";"98";"11";"miasto";"stały";"Szkoła Podstawowa nr 2 im. kpt. ż. w. Mamerta Stankiewicza w Gryfinie, ul. 9 Maja 4, 74-101 Gryfino";"gm. Gryfino";"gryfiński";"zachodniopomorskie";"1730";"1857";"522";"1208";"1";"8";"0";"0";"0";"0";"0";"0";"0";"1208";"0";"0";"1208";"46";"5";"41";"0";"1162";"704";"458"
"e1dd-486e-e6e0-c40f-cf7d-083b-92d1-70db";"320604";"98";"12";"miasto";"stały";"Przedszkole nr 1 im. Krasnala Hałabały w Gryfinie, ul. Wojska Polskiego 11, 74-101 Gryfino";"gm. Gryfino";"gryfiński";"zachodniopomorskie";"990";"1085";"305";"685";"0";"0";"0";"0";"0";"0";"0";"0";"0";"685";"0";"0";"685";"31";"10";"21";"0";"654";"417";"237"
"1ec7-e10c-bee5-240d-d118-c3ac-ea7d-79cd";"320604";"98";"13";"wieś";"stały";"Świetlica Wiejska w Czepinie, Czepino ul. Gryfińska 46, 74-100 Gryfino";"gm. Gryfino";"gryfiński";"zachodniopomorskie";"1130";"1228";"509";"621";"2";"0";"0";"0";"0";"0";"0";"0";"0";"621";"0";"0";"621";"34";"4";"30";"0";"587";"319";"268"
"5530-9e22-1adf-6759-f619-4f1f-7c86-1070";"320604";"98";"14";"wieś";"stały";"Szkoła Podstawowa im. Małych Zesłańców Sybiru w Radziszewie, Radziszewo ul. Szczecińska 54, 74-100 Gryfino";"gm. Gryfino";"gryfiński";"zachodniopomorskie";"970";"1066";"386";"584";"1";"2";"0";"0";"0";"0";"0";"0";"0";"583";"0";"0";"583";"40";"9";"31";"0";"543";"278";"265"
"0e89-a553-047a-0970-6543-5204-96d6-ea59";"320604";"98";"15";"wieś";"stały";"Szkoła Podstawowa im. Bohaterów Westerplatte w Gardnie, Gardno ul. Niepodległości 1, 74-100 Gryfino";"gm. Gryfino";"gryfiński";"zachodniopomorskie";"1040";"1130";"567";"473";"1";"1";"0";"0";"0";"0";"0";"0";"0";"473";"0";"0";"473";"12";"1";"11";"0";"461";"219";"242"
"a055-28c4-9947-fd2b-05fb-3e73-5fc7-48fd";"320604";"98";"16";"wieś";"stały";"Świelica Wiejska w Dołgich, Dołgie 12a, 74-100 Gryfino";"gm. Gryfino";"gryfiński";"zachodniopomorskie";"700";"782";"405";"295";"0";"0";"0";"0";"0";"0";"0";"0";"0";"295";"0";"0";"295";"17";"2";"15";"0";"278";"106";"172"
"fdc7-d677-892a-d708-eec5-8c39-8e39-f672";"320604";"98";"17";"wieś";"stały";"Szkoła Podstawowa im. Jana Pawła II w Chwarstnicy, Chwarstnica Gryfińska 19, 74-100 Gryfino";"gm. Gryfino";"gryfiński";"zachodniopomorskie";"590";"651";"233";"357";"0";"3";"0";"0";"0";"0";"0";"0";"0";"357";"0";"0";"357";"13";"2";"11";"0";"344";"157";"187"
