"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Alicja Paulina CHYBICKA";"Marcin Rafał KRZYŻANOWSKI"
"008c-8fd5-db0a-9712-a093-fa71-7b69-c6e0";"026401";"7";"99";"miasto";"stały";"Liceum Ogólnokształcące nr VIII, ul. Zaporoska 71, 53-415 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1200";"1508";"234";"966";"1";"35";"0";"0";"0";"0";"0";"0";"0";"965";"0";"0";"965";"39";"16";"23";"0";"926";"586";"340"
"c0d3-f517-a3cb-c0cf-67c4-f819-866f-1f42";"026401";"7";"100";"miasto";"stały";"Liceum Ogólnokształcące nr VIII, ul. Zaporoska 71, 53-415 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1000";"1229";"277";"723";"1";"21";"0";"0";"0";"0";"0";"0";"0";"723";"0";"0";"723";"29";"5";"24";"0";"694";"434";"260"
"1d03-af84-5ac5-df09-9053-8e16-93be-a575";"026401";"7";"101";"miasto";"stały";"Szkoła Podstawowa nr 76 z Oddziałami Sportowymi, ul. Wandy 13, 53-320 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1196";"1406";"185";"1011";"4";"17";"0";"0";"0";"0";"0";"0";"0";"1011";"0";"0";"1011";"16";"16";"0";"0";"995";"695";"300"
"96d0-2e11-36de-8f9d-c1f8-5d15-45bf-822d";"026401";"7";"102";"miasto";"stały";"Szkoła Podstawowa nr 76 z Oddziałami Sportowymi, ul. Wandy 13, 53-320 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1300";"1489";"274";"1026";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1026";"0";"0";"1026";"35";"9";"26";"0";"991";"701";"290"
"6719-9e70-7fd7-164d-6365-aba9-6c26-fa15";"026401";"7";"103";"miasto";"stały";"Szkoła Podstawowa nr 81, ul. Jastrzębia 26, 53-148 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1600";"1821";"229";"1371";"4";"16";"1";"1";"0";"0";"0";"0";"1";"1371";"1";"0";"1371";"46";"15";"31";"0";"1325";"953";"372"
"3eec-70b5-2282-02cd-3e8d-3187-066a-6800";"026401";"7";"104";"miasto";"stały";"Szkoła Podstawowa nr 81, ul. Jastrzębia 26, 53-148 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1599";"1820";"235";"1364";"2";"29";"0";"0";"0";"0";"0";"0";"0";"1364";"0";"0";"1364";"48";"13";"35";"0";"1316";"835";"481"
"e32d-1eb9-d0fd-ee22-5ca4-03d5-f0cc-1bc2";"026401";"7";"105";"miasto";"stały";"Przedszkole nr 61 ""Gajowickie Skrzaty"", ul. Gajowicka 199, 53-150 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1200";"1301";"235";"965";"7";"15";"1";"1";"0";"0";"0";"0";"1";"966";"1";"0";"966";"47";"11";"36";"0";"919";"666";"253"
"85db-9791-fc0f-2281-f757-17db-01e7-82d6";"026401";"7";"106";"miasto";"stały";"Szkoła Podstawowa nr 4, ul. Powstańców Śląskich 210 - 218, 53-140 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1600";"1742";"337";"1263";"4";"28";"2";"2";"0";"0";"0";"0";"2";"1263";"2";"1";"1262";"35";"7";"28";"0";"1227";"836";"391"
"2611-daa0-2d2a-11ea-9c36-40aa-a564-bd1a";"026401";"7";"107";"miasto";"stały";"Liceum Ogólnokształcące nr V, ul. Jacka Kuronia 14, 50-550 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"2098";"2474";"207";"1891";"3";"46";"0";"0";"0";"0";"0";"0";"0";"1891";"0";"0";"1891";"63";"18";"45";"0";"1828";"1316";"512"
"24da-faf7-8771-a3c8-bdbb-db27-02b5-d0d7";"026401";"7";"108";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 19, ul. Januszowicka 35 - 37, 53-135 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1400";"1608";"205";"1195";"2";"31";"0";"0";"0";"0";"0";"0";"0";"1195";"0";"0";"1195";"23";"5";"18";"0";"1172";"851";"321"
"a59c-5faf-89cb-4eae-33cd-375d-4088-10c8";"026401";"7";"109";"miasto";"stały";"Ośrodek Postaw Twórczych, ul. Działkowa 15, 50-538 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1900";"2152";"186";"1714";"2";"34";"1";"1";"0";"0";"0";"0";"1";"1712";"1";"0";"1712";"59";"18";"41";"0";"1653";"1230";"423"
"d90c-feb4-0290-f118-972a-1ca9-33a4-7fa2";"026401";"7";"110";"miasto";"stały";"Przedszkole nr 49, ul. Borowska 181 - 187, 50-553 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"2000";"2227";"250";"1750";"0";"34";"0";"0";"0";"0";"0";"0";"0";"1750";"0";"0";"1750";"41";"21";"20";"0";"1709";"1277";"432"
"8199-9bb1-be59-d879-57ab-0eee-c826-0649";"026401";"7";"111";"miasto";"stały";"Komenda Wojewódzka Państwowej Straży Pożarnej, ul. Borowska 138, 50-552 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1849";"2061";"259";"1590";"0";"22";"0";"0";"0";"0";"0";"0";"0";"1589";"0";"0";"1589";"28";"11";"17";"0";"1561";"1117";"444"
"5127-72a6-635f-3c93-c6bf-8a1f-b075-9168";"026401";"7";"112";"miasto";"stały";"Szkoła Podstawowa nr 90, ul. Orzechowa 62, 50-540 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1800";"1968";"389";"1411";"0";"12";"0";"0";"0";"0";"0";"0";"0";"1411";"0";"0";"1411";"42";"14";"28";"0";"1369";"869";"500"
"7c3a-207d-10a3-0c43-2616-1334-5ff6-f703";"026401";"7";"113";"miasto";"stały";"Szkoła Podstawowa nr 90, ul. Orzechowa 62, 50-540 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1800";"2102";"385";"1415";"0";"17";"0";"0";"0";"0";"0";"0";"0";"1415";"0";"0";"1415";"55";"12";"43";"0";"1360";"860";"500"
"25d6-7fe1-d1e0-3e93-57fe-d0ec-cdd4-c429";"026401";"7";"114";"miasto";"stały";"Szkoła Podstawowa nr 90, ul. Orzechowa 62, 50-540 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"2502";"2471";"508";"1994";"1";"28";"0";"0";"0";"0";"0";"0";"0";"1993";"0";"0";"1993";"61";"22";"39";"0";"1932";"1470";"462"
"24d3-3065-c5c8-cbb4-a3cf-d324-5571-8ff7";"026401";"7";"115";"miasto";"stały";"Szkoła Podstawowa nr 90, ul. Orzechowa 62, 50-540 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1700";"1851";"296";"1404";"2";"16";"0";"0";"0";"0";"0";"0";"0";"1404";"0";"0";"1404";"39";"0";"39";"0";"1365";"1024";"341"
"3611-75c3-6088-8c80-0364-ac98-8e85-432e";"026401";"7";"116";"miasto";"stały";"Szkoła Podstawowa nr 90, ul. Orzechowa 62, 50-540 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1600";"1768";"306";"1294";"1";"25";"0";"0";"0";"0";"0";"0";"0";"1294";"0";"0";"1294";"37";"37";"0";"0";"1257";"924";"333"
"5e81-ff45-c7e8-083c-0c51-316b-8ea1-d1e0";"026401";"7";"117";"miasto";"stały";"Dzienny Dom Pomocy Społecznej ""Na Ciepłej"", ul. Ciepła 15B, 50-524 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1598";"1825";"323";"1275";"1";"20";"0";"0";"0";"0";"0";"0";"0";"1275";"0";"0";"1275";"36";"12";"24";"0";"1239";"802";"437"
"276b-098f-a38f-900f-1517-d04d-3d94-c1b7";"026401";"7";"118";"miasto";"stały";"Szkoła Podstawowa nr 73, ul. Gliniana 30, 50-525 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1300";"1516";"290";"1010";"2";"26";"1";"1";"0";"0";"0";"0";"1";"1011";"1";"0";"1011";"41";"11";"30";"0";"970";"583";"387"
"bc91-52d5-2030-fb62-4241-a6a5-0af5-b9b8";"026401";"7";"119";"miasto";"stały";"Zespół Szkół Logistycznych, ul. Jana Władysława Dawida 9 - 11, 50-527 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1599";"1926";"213";"1386";"5";"37";"0";"0";"0";"0";"0";"0";"0";"1386";"0";"0";"1386";"62";"19";"43";"0";"1324";"922";"402"
"0bbc-8490-8b4f-9ca9-0926-551f-28ef-a83b";"026401";"7";"120";"miasto";"stały";"Przdszkole nr 119 ""Zielona Łąka"", ul. Łódzka 23, 50-521 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1401";"1572";"321";"1080";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1077";"0";"0";"1077";"33";"12";"21";"0";"1044";"664";"380"
"93bc-eb9a-dc3c-4fe3-cd62-5716-9f1d-0b41";"026401";"7";"121";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 17, ul. Wieczysta 105, 50-550 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1299";"1539";"202";"1097";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1097";"0";"0";"1097";"41";"11";"30";"0";"1056";"677";"379"
"4c41-804d-7cf2-5f3e-e583-901c-f568-65d9";"026401";"7";"122";"miasto";"stały";"Zespół Szkół Logistycznych, ul. Jana Władysława Dawida 9 - 11, 50-527 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1498";"1767";"338";"1160";"4";"12";"0";"0";"0";"0";"0";"0";"0";"1160";"0";"0";"1160";"30";"4";"26";"0";"1130";"740";"390"
"469a-7a86-442d-c30f-fd8e-896a-b523-025a";"026401";"7";"123";"miasto";"stały";"Szkoła Podstawowa nr 77, ul. św. Jerzego 4, 50-518 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1700";"2054";"228";"1472";"0";"41";"0";"0";"0";"0";"0";"0";"0";"1472";"0";"0";"1472";"44";"19";"25";"0";"1428";"905";"523"
"6257-f83e-c2ce-5f72-75c3-7119-c1b8-d95a";"026401";"7";"124";"miasto";"stały";"Szkoła Podstawowa nr 77, ul. św. Jerzego 4, 50-518 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1500";"1703";"342";"1158";"0";"23";"0";"0";"0";"0";"0";"0";"0";"1158";"0";"0";"1158";"23";"13";"10";"0";"1135";"727";"408"
"73b4-97d6-f913-1f32-f29e-716d-2a3f-008a";"026401";"7";"125";"miasto";"stały";"Zespół Szkół nr 2, ul. Borowska 105, 50-551 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1500";"1850";"160";"1339";"1";"27";"0";"0";"0";"0";"0";"0";"0";"1339";"0";"0";"1339";"47";"27";"20";"0";"1292";"810";"482"
"61c1-8cd8-8746-a084-b2e9-31c6-f70d-aba4";"026401";"7";"126";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 17, ul. Wieczysta 105, 50-550 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1598";"1789";"343";"1255";"2";"22";"0";"0";"0";"0";"0";"0";"0";"1255";"0";"0";"1255";"47";"12";"35";"0";"1208";"720";"488"
"6b4a-609c-6ed4-82a7-32da-65b1-dc46-5a1e";"026401";"7";"127";"miasto";"stały";"Szkoła Podstawowa nr 9, ul. Nyska 66, 50-505 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1600";"1945";"193";"1407";"3";"47";"0";"0";"0";"0";"0";"0";"0";"1407";"0";"0";"1407";"46";"20";"26";"0";"1361";"955";"406"
"11eb-306c-cfba-ceeb-b51e-2a25-0b2e-52e3";"026401";"7";"128";"miasto";"stały";"Szkoła Podstawowa nr 9, ul. Nyska 66, 50-505 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"2393";"2785";"140";"2253";"2";"85";"0";"0";"0";"0";"0";"0";"0";"2253";"0";"0";"2253";"57";"21";"36";"0";"2196";"1665";"531"
"6731-21c6-6d0d-9db4-daf5-787f-b204-8903";"026401";"7";"129";"miasto";"stały";"Wrocławskie Mieszkania Sp. z o. o. BOK nr 6, ul. Gazowa 20, 50-513 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1900";"2219";"185";"1715";"3";"45";"0";"0";"0";"0";"0";"0";"0";"1715";"0";"0";"1715";"37";"19";"18";"0";"1678";"1234";"444"
"4684-475d-9db0-c3a6-d69f-0ca0-9175-5a62";"026401";"7";"130";"miasto";"stały";"Szkoła Podstawowa nr 96, ul. Krakowska 2, 50-425 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1400";"1740";"257";"1143";"0";"44";"0";"0";"0";"0";"0";"0";"0";"1143";"0";"0";"1143";"32";"6";"26";"0";"1111";"802";"309"
"0235-7a01-9685-1b37-b16b-1707-df12-72dc";"026401";"7";"131";"miasto";"stały";"Przedszkole Integracyjne nr 12, ul. Zgodna 10 - 14, 50-432 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1401";"1570";"412";"989";"1";"10";"0";"0";"0";"0";"0";"0";"0";"989";"0";"0";"989";"42";"14";"28";"0";"947";"644";"303"
"4c17-5d7e-cdc1-99d0-44eb-b276-c4dd-d2d8";"026401";"7";"132";"miasto";"stały";"Liceum Ogólnokształcące nr IV, ul. Stacha Świstackiego 12 - 14, 50-430 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1700";"2113";"432";"1268";"0";"32";"0";"0";"0";"0";"0";"0";"0";"1267";"0";"0";"1267";"39";"11";"28";"0";"1228";"805";"423"
"302a-d19c-3506-c9cd-902b-173e-c158-c9b3";"026401";"7";"133";"miasto";"stały";"Liceum Ogólnokształcące nr IV, ul. Stacha Świstackiego 12 - 14, 50-430 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1800";"2086";"553";"1247";"1";"29";"0";"0";"0";"0";"0";"0";"0";"1247";"0";"0";"1247";"38";"12";"26";"0";"1209";"772";"437"
"046c-ea2c-6e47-834f-4dd4-2664-23c8-ec14";"026401";"7";"134";"miasto";"stały";"Zespół Szkół Teleinformatycznych i Elektronicznych (Budynek Hali Sportowej), ul. Stanisława Worcella 20 - 26, 50-448 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1600";"1995";"386";"1214";"3";"17";"0";"0";"0";"0";"0";"0";"0";"1214";"0";"0";"1214";"39";"10";"29";"0";"1175";"792";"383"
"7159-a55e-6b14-2ff2-122c-bbfe-8642-3db4";"026401";"7";"135";"miasto";"stały";"Muzeum Etnograficzne, ul. gen. Romualda Traugutta 111/113, 50-419 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1500";"1816";"415";"1085";"1";"32";"0";"0";"0";"0";"0";"0";"0";"1085";"0";"0";"1085";"39";"9";"30";"0";"1046";"688";"358"
"910f-e0be-f282-a315-70e1-fc6c-3194-4504";"026401";"7";"136";"miasto";"stały";"Szkoła Podstawowa nr 2, ul. Komuny Paryskiej 36 - 38, 50-451 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"900";"1195";"84";"816";"3";"47";"0";"0";"0";"0";"0";"0";"0";"816";"0";"0";"816";"29";"11";"18";"0";"787";"562";"225"
"3691-d038-da5f-bae1-3fd5-ff6f-babe-78b1";"026401";"7";"137";"miasto";"stały";"Szermiercza Sportowa Szkoła Podstawowa nr 85, ul. gen. Romualda Traugutta 37, 50-416 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1200";"1452";"241";"958";"1";"24";"0";"0";"0";"0";"0";"0";"0";"957";"0";"0";"957";"33";"7";"26";"0";"924";"618";"306"
"6d7e-f75c-2e99-6b8f-a8fb-9e61-82eb-fe12";"026401";"7";"138";"miasto";"stały";"Liceum Ogólnokształcące nr XIII, ul. gen. Józefa Haukego-Bosaka 33 - 37, 50-447 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1400";"1586";"477";"923";"1";"25";"0";"0";"0";"0";"0";"0";"0";"922";"0";"0";"922";"34";"14";"20";"0";"888";"583";"305"
"48c8-3415-f856-59c8-3f18-066e-83dd-ccc4";"026401";"7";"139";"miasto";"stały";"Zespół Szkół Teleinformatycznych i Elektronicznych, ul. gen. Józefa Haukego-Bosaka 21, 50-447 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1000";"1196";"245";"755";"0";"0";"0";"0";"0";"0";"0";"0";"0";"755";"0";"0";"755";"33";"8";"25";"0";"722";"477";"245"
"7ec0-df4b-371d-d6d7-c9cf-847c-ad63-10ff";"026401";"7";"140";"miasto";"stały";"Zespół Szkół Ekonomiczno-Administracyjnych, ul. Stanisława Worcella 3, 50-448 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1800";"2046";"480";"1320";"1";"17";"0";"0";"0";"0";"0";"0";"0";"1320";"0";"0";"1320";"47";"11";"36";"0";"1273";"782";"491"
"d240-51dd-2a4b-edd3-057a-c551-7f85-e274";"026401";"7";"141";"miasto";"stały";"Szkoła Podstawowa nr 99, ul. Bytomska 7, 52-024 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"2100";"2475";"417";"1683";"1";"16";"0";"0";"0";"0";"0";"0";"0";"1683";"0";"1";"1682";"57";"22";"35";"0";"1625";"1134";"491"
"207f-00c4-3b67-4d56-a31e-40d6-ad3f-f8ad";"026401";"7";"142";"miasto";"stały";"Szkoła Podstawowa nr 99, ul. Bytomska 7, 52-024 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1994";"2273";"341";"1653";"0";"33";"0";"0";"0";"0";"0";"0";"0";"1653";"0";"0";"1653";"30";"21";"9";"0";"1623";"1134";"489"
"f502-637c-59c7-16ff-061b-193c-1650-0699";"026401";"7";"143";"miasto";"stały";"Przedszkole nr 51, ul. Semaforowa 42, 52-115 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1800";"2077";"404";"1396";"1";"21";"0";"0";"0";"0";"0";"0";"0";"1396";"0";"0";"1396";"43";"11";"32";"0";"1353";"846";"507"
"8ae5-1f33-2bef-d431-9126-24da-a477-a2a6";"026401";"7";"144";"miasto";"stały";"Szkoła Podstawowa nr 80, ul. Polna 4, 52-120 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1700";"1945";"332";"1368";"0";"15";"0";"0";"0";"0";"0";"0";"0";"1368";"0";"0";"1368";"35";"12";"23";"0";"1333";"831";"502"
"8873-6768-d906-9985-ba7e-ec13-97be-aecb";"026401";"7";"145";"miasto";"stały";"Szkoła Podstawowa nr 80, ul. Polna 4, 52-120 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1897";"2240";"467";"1430";"0";"27";"0";"0";"0";"0";"0";"0";"0";"1430";"0";"0";"1430";"34";"10";"24";"0";"1396";"872";"524"
"27a4-93a2-2ffa-6473-99da-ca47-42d8-08ec";"026401";"7";"146";"miasto";"stały";"Rada Osiedla Jagodno, ul. Jagodzińska 15, 52-129 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1649";"1821";"226";"1424";"0";"20";"2";"2";"0";"0";"0";"0";"2";"1427";"2";"0";"1427";"38";"8";"30";"0";"1389";"1008";"381"
"a111-d42a-6793-3dae-2a67-1238-3f52-d1c4";"026401";"7";"147";"miasto";"stały";"Rada Osiedla Jagodno, ul. Jagodzińska 15, 52-129 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1230";"1215";"232";"998";"0";"26";"0";"0";"0";"0";"0";"0";"0";"998";"0";"0";"998";"31";"7";"24";"0";"967";"752";"215"
"73f1-ebf5-a8e6-1eb4-d06f-a1c1-594c-1a35";"026401";"7";"148";"miasto";"stały";"Świetlica ""Cztery Pory Roku-Zima"", ul. Ryszarda Wagnera 3, 52-129 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1698";"1979";"116";"1582";"0";"23";"0";"0";"0";"0";"0";"0";"0";"1582";"0";"0";"1582";"34";"13";"21";"0";"1548";"1208";"340"
"31e9-8d0d-1027-560b-8b1e-46f4-6c3c-8a56";"026401";"7";"149";"miasto";"stały";"Szkoła Podstawowa nr 23, ul. Przystankowa 32, 52-231 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1900";"2171";"228";"1672";"1";"30";"1";"1";"0";"0";"0";"0";"1";"1673";"1";"0";"1673";"36";"13";"23";"0";"1637";"1142";"495"
"1ad2-13bb-1455-f70a-3faf-4676-73c3-8e55";"026401";"7";"150";"miasto";"stały";"Szkoła Podstawowa nr 23, ul. Przystankowa 32, 52-231 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"2600";"2800";"351";"2249";"1";"30";"0";"0";"0";"0";"0";"0";"0";"2249";"0";"0";"2249";"63";"0";"63";"0";"2186";"1745";"441"
"f80a-07e4-d90e-abb6-0151-ba61-3161-ffb5";"026401";"7";"151";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 6, ul. Konstantego Ildefonsa Gałczyńskiego 8, 52-214 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1400";"1626";"92";"1308";"2";"36";"0";"0";"0";"0";"0";"0";"0";"1308";"0";"0";"1308";"29";"8";"21";"0";"1279";"1033";"246"
"dc82-46ac-2cf5-4453-fe91-aa82-ab68-8299";"026401";"7";"152";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 6, ul. Konstantego Ildefonsa Gałczyńskiego 8, 52-214 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1400";"1601";"162";"1238";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1238";"0";"0";"1238";"43";"0";"43";"0";"1195";"881";"314"
"1e2d-0b0e-d16a-300f-208b-2a29-950f-2505";"026401";"7";"153";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 6, ul. Konstantego Ildefonsa Gałczyńskiego 8, 52-214 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1700";"1980";"120";"1580";"1";"14";"0";"0";"0";"0";"0";"0";"0";"1580";"0";"0";"1580";"56";"14";"42";"0";"1524";"1175";"349"
"1e0a-d466-e8a0-1775-8ad4-0253-59b8-af49";"026401";"7";"154";"miasto";"stały";"Rada Osiedla Krzyki-Partynice, ul. Wiosenna 14, 53-017 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"2100";"2400";"267";"1833";"3";"37";"1";"1";"0";"0";"0";"0";"1";"1834";"1";"0";"1834";"51";"6";"45";"0";"1783";"1284";"499"
"cac1-bcb4-a1b2-c9d9-b47c-f3a4-31c1-72de";"026401";"7";"155";"miasto";"stały";"Szkoła Podstawowa nr 64, ul. Wojszycka 1, 53-006 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1896";"2229";"190";"1706";"5";"53";"0";"0";"0";"0";"0";"0";"0";"1706";"0";"0";"1706";"48";"13";"35";"0";"1658";"1235";"423"
"6223-1404-3461-37e9-bdd5-bf03-fc93-025a";"026401";"7";"156";"miasto";"stały";"Szkoła Podstawowa nr 64, ul. Wojszycka 1, 53-006 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"2100";"2463";"17";"2083";"0";"74";"0";"0";"0";"0";"0";"0";"0";"2083";"0";"0";"2083";"69";"22";"47";"0";"2014";"1652";"362"
"0d6f-72af-dcc2-b44f-3cbb-bb1e-b702-545d";"026401";"7";"157";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 16, ul. Wietrzna 50, 53-024 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1697";"1949";"92";"1605";"1";"33";"0";"0";"0";"0";"0";"0";"0";"1605";"0";"0";"1605";"46";"11";"35";"0";"1559";"1148";"411"
"4f4f-bd5d-74f8-247c-6889-fdfe-1227-8058";"026401";"7";"158";"miasto";"stały";"Szkoła Podstawowa nr 61, ul. Skarbowców 8, 53-025 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1799";"2067";"140";"1659";"2";"22";"0";"0";"0";"0";"0";"0";"0";"1659";"0";"0";"1659";"61";"15";"46";"0";"1598";"1157";"441"
"c810-4bd6-b5c5-1e6a-1175-7425-dc65-c1be";"026401";"7";"159";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 16, ul. Wietrzna 50, 53-024 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"2401";"2675";"228";"2173";"0";"45";"0";"0";"0";"0";"0";"0";"0";"2172";"0";"0";"2172";"40";"13";"27";"0";"2132";"1722";"410"
"6705-8cd5-9d0a-2803-7886-9f80-a7f3-9622";"026401";"7";"160";"miasto";"stały";"Szkoła Podstawowa nr 61, ul. Skarbowców 8, 53-205 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1608";"1828";"66";"1542";"0";"26";"0";"0";"0";"0";"0";"0";"0";"1541";"0";"0";"1541";"39";"14";"25";"0";"1502";"1263";"239"
"9afc-400a-30a5-e108-3eae-a8d5-6dc5-ca83";"026401";"7";"161";"miasto";"stały";"Szkoła Podstawowa nr 42, ul. Wałbrzyska 50, 52-314 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"2098";"2295";"399";"1699";"2";"33";"0";"0";"0";"0";"0";"0";"0";"1699";"0";"2";"1697";"56";"14";"42";"0";"1641";"1151";"490"
"b610-2c8c-bdad-0dd3-2264-ddfd-3475-6f58";"026401";"7";"162";"miasto";"stały";"Szkoła Podstawowa nr 42, ul. Wałbrzyska 50, 52-314 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"2500";"2996";"122";"2376";"1";"41";"0";"0";"0";"0";"0";"0";"0";"2378";"0";"0";"2378";"60";"21";"39";"0";"2318";"1761";"557"
"b473-a2c3-d365-0a2a-7d40-6de2-c4b8-42e3";"026401";"7";"163";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 9, ul. Ludwika Solskiego 13, 52-401 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1800";"1873";"370";"1430";"1";"16";"1";"1";"0";"0";"0";"0";"1";"1431";"1";"0";"1431";"29";"13";"16";"0";"1402";"1057";"345"
"e5df-c79c-6214-0e4b-0f3a-b7b7-7cd5-a1fa";"026401";"7";"164";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 9, ul. Ludwika Solskiego 13, 52-401 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1396";"1648";"122";"1274";"2";"24";"0";"0";"0";"0";"0";"0";"0";"1274";"0";"0";"1274";"41";"12";"29";"0";"1233";"898";"335"
