"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GANCARZ Paweł Jarosław - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SZWED Aleksander Jakub - KW PRAWO I SPRAWIEDLIWOŚĆ";"POKRYWKA Jan Tadeusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GRZYB Sebastian Mariusz - KW POLSKA 2050";"DYSZEWSKI Andrzej - KWW POROZUMIENIE OBYWATELSKIE"
10;"Filia Miejskiej Biblioteki Publicznej w Nowej Rudzie, ul. Słupiecka 2, 57-402 Nowa Ruda";20804;"m. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;412;339;71;26;237
11;"Szkoła Podstawowa nr 7 im. Tadeusza Kościuszki w Nowej Rudzie, ul. Akacjowa 8, 57-402 Nowa Ruda";20804;"m. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;348;349;73;38;203
12;"Filia Miejskiej Biblioteki Publicznej w Nowej Rudzie, ul. Słupiecka 2, 57-402 Nowa Ruda";20804;"m. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;592;501;120;42;350
13;"Dom Pomocy Społecznej w Nowej Rudzie, ul. Parkowa 20, 57-402 Nowa Ruda";20804;"m. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;4;10;0;1;1
14;"SPZOZ ""Zespół Opieki Zdrowotnej"" w Kłodzku, Szpital w Nowej Rudzie, ul. Szpitalna 8, 57-400 Nowa Ruda";20804;"m. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;0;6;1;0;0
1;"Szkoła Podstawowa Stowarzyszenia ""Edukator"", ul. Tadeusza Kościuszki 13, 57-320 Polanica-Zdrój";20805;"m. Polanica-Zdrój";"kłodzki";"dolnośląskie";1;1;455;388;73;32;235
2;"Zespół Szkolno-Przedszkolny Szkoła Podstawowa nr 2 im. Żołnierzy z Monte Cassino w Polanicy-Zdroju, al. Wojska Polskiego 23, 57-320 Polanica-Zdrój";20805;"m. Polanica-Zdrój";"kłodzki";"dolnośląskie";1;1;362;387;71;21;269
3;"Urząd Miejski, ul. Jarosława Dąbrowskiego 3, 57-320 Polanica-Zdrój";20805;"m. Polanica-Zdrój";"kłodzki";"dolnośląskie";1;1;604;499;99;49;366
4;"Specjalistyczne Centrum Medyczne im. św. Jana Pawła II, budynek D, ul. Jana Pawła II 2, 57-320 Polanica-Zdrój";20805;"m. Polanica-Zdrój";"kłodzki";"dolnośląskie";1;1;5;16;4;2;3
1;"Biblioteka Publiczna Miasta i Gminy, pl. Plac Wolności 16, 57-500 Bystrzyca Kłodzka";20806;"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";1;1;120;170;43;45;56
2;"Ratusz, pl. Plac Wolności 1, 57-500 Bystrzyca Kłodzka";20806;"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";1;1;291;304;71;95;138
3;"Miejsko-Gminny Ośrodek Kultury, ul. Wojska Polskiego 20, 57-500 Bystrzyca Kłodzka";20806;"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";1;1;172;200;46;52;88
4;"Szkoła Podstawowa nr 2 im. Obrońców Warszawy, ul. Wojska Polskiego 68, 57-500 Bystrzyca Kłodzka";20806;"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";1;1;413;469;73;108;228
5;"Miejsko-Gminny Ośrodek Kultury, ul. Wojska Polskiego 20, 57-500 Bystrzyca Kłodzka";20806;"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";1;1;368;365;74;115;181
6;"Wiejski Dom Kultury, Stary Waliszów 91, 57-500 Bystrzyca Kłodzka";20806;"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";1;1;155;190;28;37;57
7;"Publiczna Szkoła Podstawowa Stowarzyszenia ""Stara Łomnica Dzieciom"", Stara Łomnica 64, 57-521 Gorzanów";20806;"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";1;1;171;312;50;38;78
8;"Szkoła Podstawowa z Oddziałami Integracyjnymi im. Marii Konopnickiej, Pławnica 2, 57-500 Bystrzyca Kłodzka";20806;"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";1;1;126;269;59;57;71
9;"Szkoła Podstawowa, ul. Kłodzka 8, 57-521 Gorzanów";20806;"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";1;1;137;225;41;19;71
10;"Wiejski Dom Kultury, Nowy Waliszów 81, 57-500 Bystrzyca Kłodzka";20806;"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";1;1;55;135;12;11;27
11;"Wiejski Dom Kultury, Stara Bystrzyca ul. Bystrzycka 41, 57-500 Bystrzyca Kłodzka";20806;"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";1;1;231;185;46;53;99
12;"Sanatorium ""Ondraszek"", ul. Zdrojowa 10A, 57-520 Długopole-Zdrój";20806;"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";1;1;152;108;25;32;68
13;"Budynek byłej Szkoły Podstawowej, Międzygórze ul. Pocztowa 1, 57-500 Bystrzyca Kłodzka";20806;"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";1;1;87;87;20;30;61
14;"Wiejski Dom Kultury, Wilkanów 137, 57-500 Bystrzyca Kłodzka";20806;"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";1;1;143;168;26;139;45
15;"Świetlica Wiejska, Ponikwa 41A, 57-500 Bystrzyca Kłodzka";20806;"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";1;1;73;67;15;22;35
16;"Szkoła Podstawowa w Długopolu Dolnym, Długopole Dolne 35, 57-520 Długopole-Zdrój";20806;"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";1;1;66;69;14;21;17
17;"Świetlica Wiejska w Porębie, Poręba 54, 57-520 Długopole-Zdrój";20806;"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";1;1;49;48;14;16;7
18;"Dom Pomocy Społecznej, pl. Plac Szpitalny 5, 57-500 Bystrzyca Kłodzka";20806;"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";1;1;3;9;3;0;2
19;"Dom Pomocy Społecznej, ul. Górna 23, 57-500 Bystrzyca Kłodzka";20806;"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";1;1;1;5;0;2;0
20;"Bystrzyckie Centrum Zdrowia, ul. Stefana Okrzei 49, 57-500 Bystrzyca Kłodzka";20806;"gm. Bystrzyca Kłodzka";"kłodzki";"dolnośląskie";1;1;6;24;3;2;5
1;"Świetlica wiejska, Boguszyn 91a, 57-300 Boguszyn";20807;"gm. Kłodzko";"kłodzki";"dolnośląskie";1;1;89;91;17;8;43
2;"Dom Ludowy, Wojciechowice 106, 57-300 Wojciechowice";20807;"gm. Kłodzko";"kłodzki";"dolnośląskie";1;1;119;87;20;15;43
3;"Szkoła Podstawowa, Jaszkowa Dolna 63 e, 57-312 Jaszkowa Dolna";20807;"gm. Kłodzko";"kłodzki";"dolnośląskie";1;1;298;279;61;15;90
4;"Filia Biblioteki Publicznej Gminy Kłodzko, Jaszkowa Górna 71, 57-312 Jaszkowa Górna";20807;"gm. Kłodzko";"kłodzki";"dolnośląskie";1;1;201;196;30;6;59
5;"Ośrodek Kultury, Sportu i Rekreacji Gminy Kłodzko, ul. Kłodzka 20, 57-360 Ołdrzychowice Kłodzkie";20807;"gm. Kłodzko";"kłodzki";"dolnośląskie";1;1;334;400;64;35;129
6;"Centrum Biblioteczno-Kulturalne w Żelaźnie, Żelazno 102A, 57-361 Żelazno";20807;"gm. Kłodzko";"kłodzki";"dolnośląskie";1;1;195;189;57;17;66
7;"Sala „Podhalanka” w Krosnowicach, Krosnowice 186, 57-362 Krosnowice";20807;"gm. Kłodzko";"kłodzki";"dolnośląskie";1;1;443;517;109;25;152
8;"Centrum Inicjatyw Społeczno-Kulturalnych, Stary Wielisław 61 a, 57-313 Stary Wielisław";20807;"gm. Kłodzko";"kłodzki";"dolnośląskie";1;1;220;232;43;10;76
9;"Dom Ludowy w Szalejowie Dolnym, Szalejów Dolny 1, 57-314 Szalejów Dolny";20807;"gm. Kłodzko";"kłodzki";"dolnośląskie";1;1;164;161;35;8;52
10;"Dom Ludowy w Szalejowie Górnym, Szalejów Górny 1, 57-314 Szalejów Górny";20807;"gm. Kłodzko";"kłodzki";"dolnośląskie";1;1;134;148;76;8;37
11;"Świetlica wiejska, Piszkowice 59 h, 57-315 Piszkowice";20807;"gm. Kłodzko";"kłodzki";"dolnośląskie";1;1;102;165;34;8;37
12;"Świetlica wiejska, Święcko 18, 57-441 Święcko";20807;"gm. Kłodzko";"kłodzki";"dolnośląskie";1;1;78;98;12;8;28
13;"Centrum Biblioteczno-Kulturalne w Bierkowicach, Bierkowice 1A, 57-315 Bierkowice";20807;"gm. Kłodzko";"kłodzki";"dolnośląskie";1;1;61;160;14;4;24
14;"Centrum Biblioteczno-Kulturalne w Wojborzu, Wojbórz 138, 57-442 Wojbórz";20807;"gm. Kłodzko";"kłodzki";"dolnośląskie";1;1;243;200;32;5;45
15;"Świetlica wiejska, Ławica 8, 57-300 Ławica";20807;"gm. Kłodzko";"kłodzki";"dolnośląskie";1;1;107;124;21;7;29
16;"Świetlica wiejska, Podzamek 18, 57-312 Podzamek";20807;"gm. Kłodzko";"kłodzki";"dolnośląskie";1;1;56;78;9;3;14
17;"Świetlica wiejska, Gołogłowy 27c, 57-315 Gołogłowy";20807;"gm. Kłodzko";"kłodzki";"dolnośląskie";1;1;40;50;11;2;12
18;"Świetlica wiejska, Łączna 18c, 57-442 Łączna";20807;"gm. Kłodzko";"kłodzki";"dolnośląskie";1;1;28;70;6;4;17
19;"Świetlica wiejska, Ścinawica 51, 57-300 Ścinawica";20807;"gm. Kłodzko";"kłodzki";"dolnośląskie";1;1;67;54;13;8;26
1;"Zespół Szkół Publicznych w Lądku-Zdroju, Szkoła Podstawowa nr 1 im. Janusza Korczaka, ul. Kościelna 31, 57-540 Lądek-Zdrój";20808;"gm. Lądek-Zdrój";"kłodzki";"dolnośląskie";1;1;177;187;40;16;102
2;"Ośrodek Pomocy Społecznej, ul. Ludwika Zamenhofa 2, 57-540 Lądek-Zdrój";20808;"gm. Lądek-Zdrój";"kłodzki";"dolnośląskie";1;1;244;201;59;13;141
3;"Ośrodek Pomocy Społecznej, ul. Ludwika Zamenhofa 2, 57-540 Lądek-Zdrój";20808;"gm. Lądek-Zdrój";"kłodzki";"dolnośląskie";1;1;201;204;44;13;123
4;"Przedszkole z Oddziałami Integracyjnymi, ul. Powstańców Wielkopolskich 26A, 57-540 Lądek-Zdrój";20808;"gm. Lądek-Zdrój";"kłodzki";"dolnośląskie";1;1;234;233;58;28;138
5;"Przedszkole z Oddziałami Integracyjnymi, ul. Powstańców Wielkopolskich 26A, 57-540 Lądek-Zdrój";20808;"gm. Lądek-Zdrój";"kłodzki";"dolnośląskie";1;1;262;257;55;20;141
6;"Budynek byłej Szkoły Podstawowej, Radochów 104, 57-540 Lądek-Zdrój";20808;"gm. Lądek-Zdrój";"kłodzki";"dolnośląskie";1;1;181;138;31;18;86
7;"Świetlica Wiejska, Trzebieszowice 107A, 57-540 Lądek-Zdrój";20808;"gm. Lądek-Zdrój";"kłodzki";"dolnośląskie";1;1;163;195;41;15;91
8;"Remiza Ochotniczej Straży Pożarnej w Konradowie, Konradów 70, 57-540 Lądek-Zdrój";20808;"gm. Lądek-Zdrój";"kłodzki";"dolnośląskie";1;1;54;32;7;4;14
9;"Świetlica Wiejska, Skrzynka 22a, 57-540 Lądek-Zdrój";20808;"gm. Lądek-Zdrój";"kłodzki";"dolnośląskie";1;1;66;78;22;7;15
10;"Szpital Rehabilitacyjny ""Stanisław"", ul. Wolności 2a, 57-540 Lądek-Zdrój";20808;"gm. Lądek-Zdrój";"kłodzki";"dolnośląskie";1;1;12;23;4;0;10
1;"Zespół Szkolno-Przedszkolny, ul. Kościelna 1, 57-343 Lewin Kłodzki";20809;"gm. Lewin Kłodzki";"kłodzki";"dolnośląskie";1;1;240;214;38;26;86
2;"Gminna Spółdzielnia ""SCh"" w Jeleniowie, Jeleniów pl. Spółdzielczy 49, 57-343 Lewin Kłodzki";20809;"gm. Lewin Kłodzki";"kłodzki";"dolnośląskie";1;1;139;152;39;15;74
1;"Miejsko-Gminny Ośrodek Kultury, pl. Wolności 15, 57-530 Międzylesie";20810;"gm. Międzylesie";"kłodzki";"dolnośląskie";1;1;177;236;53;44;126
2;"Biblioteka Publiczna Miasta i Gminy, ul. Wojska Polskiego 11, 57-530 Międzylesie";20810;"gm. Międzylesie";"kłodzki";"dolnośląskie";1;1;169;217;42;30;137
3;"Świetlica wiejska, Boboszów 55A, 57-530 Międzylesie";20810;"gm. Międzylesie";"kłodzki";"dolnośląskie";1;1;76;86;17;19;32
4;"Różańskie Centrum Informacji Wiejskiej, Różanka 53, 57-530 Międzylesie";20810;"gm. Międzylesie";"kłodzki";"dolnośląskie";1;1;84;91;23;10;46
5;"Świetlica wiejska, Roztoki 34, 57-530 Międzylesie";20810;"gm. Międzylesie";"kłodzki";"dolnośląskie";1;1;87;125;32;19;55
6;"Filia Biblioteki Publicznej Miasta i Gminy, Długopole Górne 79, 57-520 Długopole-Zdrój";20810;"gm. Międzylesie";"kłodzki";"dolnośląskie";1;1;77;105;22;40;38
7;"Filia Miejsko-Gminnego Ośrodka Kultury-Dom Kultury, ul. Kolejowa 3, 57-522 Domaszków";20810;"gm. Międzylesie";"kłodzki";"dolnośląskie";1;1;174;214;40;40;70
8;"Świetlica wiejska, Goworów 14, 57-530 Międzylesie";20810;"gm. Międzylesie";"kłodzki";"dolnośląskie";1;1;112;84;25;26;70
9;"Świetlica wiejska, Pisary 36, 57-530 Międzylesie";20810;"gm. Międzylesie";"kłodzki";"dolnośląskie";1;1;57;84;30;23;36
1;"Zespół Szkół Nr 1, ul. Główna 85, 57-430 Jugów";20811;"gm. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;120;98;30;6;66
2;"Zespół Szkół Nr 1, ul. Główna 85, 57-430 Jugów";20811;"gm. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;110;92;32;8;71
3;"Zespół Szkół Nr 1, ul. Główna 105, 57-430 Jugów";20811;"gm. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;110;70;24;9;49
4;"Świetlica wiejska ""Jugowianka"", ul. Główna 155, 57-430 Jugów";20811;"gm. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;121;85;29;4;71
5;"Centrum Kultury Gminy Nowa Ruda, ul. Fabryczna 2, 57-450 Ludwikowice Kłodzkie";20811;"gm. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;136;127;45;8;63
6;"Galeria Ludwikowice, ul. Główna 65, 57-450 Ludwikowice Kłodzkie";20811;"gm. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;88;146;38;14;61
7;"Świetlica wiejska, Sokolec 3, 57-450 Ludwikowice Kłodzkie";20811;"gm. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;88;92;18;6;61
8;"Zespół Szkół Nr 3 z Oddziałami Integracyjnymi, Bożków 89e, 57-441 Bożków";20811;"gm. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;128;151;31;17;48
9;"Zespół Szkół Nr 3 z Oddziałami Integracyjnymi, Bożków 89e, 57-441 Bożków";20811;"gm. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;142;167;41;13;73
10;"Biblioteka Publiczna Gminy Nowa Ruda Filia nr 7 w Przygórzu, Przygórze 218, 57-431 Przygórze";20811;"gm. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;115;99;33;6;51
11;"Remiza strażacka, Wolibórz 116, 57-431 Wolibórz";20811;"gm. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;133;236;37;17;67
12;"Hala sportowa, Dzikowiec 94 A, 57-432 Dzikowiec";20811;"gm. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;143;175;34;20;66
13;"Świetlica wiejska, Świerki 61, 57-451 Świerki";20811;"gm. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;151;128;29;12;70
14;"Świetlica wiejska, Włodowice 36, 57-400 Nowa Ruda";20811;"gm. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;147;131;24;18;72
15;"Świetlica wiejska, Czerwieńczyce 16, 57-441 Bożków";20811;"gm. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;98;123;20;9;41
16;"Dom Pomocy Społecznej, ul. Główna 118, 57-430 Jugów";20811;"gm. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;5;20;1;1;3
1;"Urząd Miasta i Gminy, rynek Rynek 1, 57-420 Radków";20812;"gm. Radków";"kłodzki";"dolnośląskie";1;1;395;469;89;26;177
2;"Centrum Kulturalno Sportowo Rekreacyjne, Ratno Górne 4a, 57-420 Radków";20812;"gm. Radków";"kłodzki";"dolnośląskie";1;1;35;57;10;2;20
3;"Świetlica OSP, Wambierzyce ul. Objazdowa 8a, 57-420 Radków";20812;"gm. Radków";"kłodzki";"dolnośląskie";1;1;145;238;46;7;68
4;"Sala Widowiskowa, Ścinawka Średnia ul. Mickiewicza 12c, 57-420 Radków";20812;"gm. Radków";"kłodzki";"dolnośląskie";1;1;294;372;66;17;134
5;"Centrum Inicjatyw Wiejskich, Ścinawka Górna 18a, 57-420 Radków";20812;"gm. Radków";"kłodzki";"dolnośląskie";1;1;84;120;32;5;33
6;"Zespół Szkolno-Przedszkolny, Ścinawka Dolna 21a, 57-420 Radków";20812;"gm. Radków";"kłodzki";"dolnośląskie";1;1;143;227;53;17;55
7;"Sala Domu Ludowego, Tłumaczów 72, 57-420 Radków";20812;"gm. Radków";"kłodzki";"dolnośląskie";1;1;70;122;7;4;41
8;"Świetlica Wiejska w Ratnie Dolnym, Ratno Dolne 57, 57-420 Radków";20812;"gm. Radków";"kłodzki";"dolnośląskie";1;1;48;113;20;7;10
9;"Suszyńskie Centrum Kultury i Tradycji, Suszyna 36A, 57-420 Radków";20812;"gm. Radków";"kłodzki";"dolnośląskie";1;1;34;66;12;6;9
10;"Dom Pomocy Społecznej w Nowej Rudzie Oddział w Ścinawce Dolnej, Ścinawka Dolna 17, 57-420 Radków";20812;"gm. Radków";"kłodzki";"dolnośląskie";1;1;6;10;1;0;3
1;"Szkoła Podstawowa w Stroniu Śląskim, ul. Kościuszki 57, 57-550 Stronie Śląskie";20813;"gm. Stronie Śląskie";"kłodzki";"dolnośląskie";1;1;222;215;30;7;110
2;"Przedszkole Miejskie w Stroniu Śląskim, ul. Nadbrzeżna 30, 57-550 Stronie Śląskie";20813;"gm. Stronie Śląskie";"kłodzki";"dolnośląskie";1;1;269;233;69;31;167
3;"Zespół Szkół Samorządowych w Stroniu Śląskim, Strachocin 2, 57-550 Stronie Śląskie";20813;"gm. Stronie Śląskie";"kłodzki";"dolnośląskie";1;1;281;172;69;27;153
4;"Szkoła Podstawowa w Stroniu Śląskim, ul. Kościuszki 57, 57-550 Stronie Śląskie";20813;"gm. Stronie Śląskie";"kłodzki";"dolnośląskie";1;1;256;175;61;27;147
5;"Świetlica wiejska ""Trzy Siostry"", Stary Gierałtów 7a, 57-550 Stronie Śląskie";20813;"gm. Stronie Śląskie";"kłodzki";"dolnośląskie";1;1;173;109;40;16;97
6;"Niepubliczne Przedszkole ""BAJLANDIA"", Bolesławów 41, 57-550 Stronie Śląskie";20813;"gm. Stronie Śląskie";"kłodzki";"dolnośląskie";1;1;138;77;22;7;70
7;"Wojewódzkie Centrum Psychiatrii Długoterminowej Samodzielny Publiczny ZOZ w Stroniu Śląskim Budynek ZOL A, ul. Sudecka 3A, 57-550 Stronie Śląskie";20813;"gm. Stronie Śląskie";"kłodzki";"dolnośląskie";1;1;2;30;2;3;3
1;"Oddział Przedszkola Publicznego w Szczytnej, ul. Wolności 80, 57-330 Szczytna";20814;"gm. Szczytna";"kłodzki";"dolnośląskie";1;1;148;136;43;17;73
2;"Szkoła Podstawowa im. Orła Białego, ul. Kościelna 6, 57-330 Szczytna";20814;"gm. Szczytna";"kłodzki";"dolnośląskie";1;1;358;313;90;39;176
3;"Miejski Ośrodek Kultury, ul. Henryka Sienkiewicza 16, 57-330 Szczytna";20814;"gm. Szczytna";"kłodzki";"dolnośląskie";1;1;412;373;86;40;249
4;"Świetlica Wiejska, Niwa 24, 57-320 Polanica-Zdrój";20814;"gm. Szczytna";"kłodzki";"dolnośląskie";1;1;40;88;21;5;14
5;"Wiejskie Centrum Aktywności Społecznej, Łężyce 49a, 57-340 Duszniki-Zdrój";20814;"gm. Szczytna";"kłodzki";"dolnośląskie";1;1;100;142;39;12;53
6;"Dom Ludowy, Wolany 4/3, 57-300 Kłodzko";20814;"gm. Szczytna";"kłodzki";"dolnośląskie";1;1;95;94;25;9;43
7;"Zespół Szkół Społecznych, Chocieszów 32, 57-320 Polanica-Zdrój";20814;"gm. Szczytna";"kłodzki";"dolnośląskie";1;1;66;50;17;11;36
1;"Centrum Kultury i Biblioteka, ul. Kolejowa 12, 57-256 Bardo";22401;"gm. Bardo";"ząbkowicki";"dolnośląskie";1;1;283;193;45;15;66
2;"Urząd Miasta i Gminy, ul. Rynek 2, 57-256 Bardo";22401;"gm. Bardo";"ząbkowicki";"dolnośląskie";1;1;264;201;54;16;130
3;"Zespół Szkolno-Przedszkolny im. KEN w Bardzie z filią w Przyłęku, Przyłęk ul. Fabryczna 7, 57-255 Bardo";22401;"gm. Bardo";"ząbkowicki";"dolnośląskie";1;1;148;155;15;9;27
4;"Wiejski Dom Kultury, Brzeźnica 46, 57-257 Bardo";22401;"gm. Bardo";"ząbkowicki";"dolnośląskie";1;1;160;89;21;5;17
5;"Świetlica wiejska w Grochowej, Grochowa 43, 57-256 Bardo";22401;"gm. Bardo";"ząbkowicki";"dolnośląskie";1;1;74;35;9;1;9
6;"Świetlica wiejska w Potworowie, Potworów 18, 57-256 Bardo";22401;"gm. Bardo";"ząbkowicki";"dolnośląskie";1;1;73;41;6;2;11
7;"Świetlica wiejska w Dzbanowie, Dzbanów 4, 57-256 Bardo";22401;"gm. Bardo";"ząbkowicki";"dolnośląskie";1;1;78;74;15;5;17
8;"Punkt Obsługi Ruchu Turystycznego, Opolnica 32 A, 57-256 Bardo";22401;"gm. Bardo";"ząbkowicki";"dolnośląskie";1;1;59;43;9;6;17
1;"Zespół Szkolno-Przedszkolny, ul. Szkolna 2, 57-211 Ciepłowody";22402;"gm. Ciepłowody";"ząbkowicki";"dolnośląskie";1;1;114;70;10;9;33
2;"Sala Widowiskowa GOKiP, pl. Plac A. Mickiewicza 2, 57-211 Ciepłowody";22402;"gm. Ciepłowody";"ząbkowicki";"dolnośląskie";1;1;224;218;45;14;60
3;"Świetlica Wiejska, Stary Henryków 46, 57-210 Henryków";22402;"gm. Ciepłowody";"ząbkowicki";"dolnośląskie";1;1;120;194;37;12;51
4;"Świetlica Wiejska, Dobrzenice 39, 57-211 Ciepłowody";22402;"gm. Ciepłowody";"ząbkowicki";"dolnośląskie";1;1;75;83;21;4;18
5;"Pałac Tomice Spółka z o. o., Tomice 2, 57-200 Ząbkowice Śląskie";22402;"gm. Ciepłowody";"ząbkowicki";"dolnośląskie";1;1;5;6;1;3;2
1;"Zespół Szkolno-Przedszkolny nr 2, ul. Szkolna 10, 57-230 Kamieniec Ząbkowicki";22403;"gm. Kamieniec Ząbkowicki";"ząbkowicki";"dolnośląskie";1;1;313;195;59;10;88
2;"Gminne Centrum Kultury, ul. Złotostocka 27, 57-230 Kamieniec Ząbkowicki";22403;"gm. Kamieniec Ząbkowicki";"ząbkowicki";"dolnośląskie";1;1;284;269;34;11;66
3;"Budynek Ochotniczej Straży Pożarnej, Ożary 37B, 57-230 Kamieniec Ząbkowicki";22403;"gm. Kamieniec Ząbkowicki";"ząbkowicki";"dolnośląskie";1;1;115;102;16;0;17
4;"Świetlica Wiejska, Topola 64, 57-230 Kamieniec Ząbkowicki";22403;"gm. Kamieniec Ząbkowicki";"ząbkowicki";"dolnośląskie";1;1;77;89;24;5;31
5;"Świetlica Wiejska, Mrokocin 33, 57-220 Ziębice";22403;"gm. Kamieniec Ząbkowicki";"ząbkowicki";"dolnośląskie";1;1;52;98;13;6;26
6;"Filia Biblioteczna i Świetlica Wiejska, Doboszowice 67, 57-230 Kamieniec Ząbkowicki";22403;"gm. Kamieniec Ząbkowicki";"ząbkowicki";"dolnośląskie";1;1;99;123;20;6;21
7;"Świetlica Wiejska, Starczów 47, 57-230 Kamieniec Ząbkowicki";22403;"gm. Kamieniec Ząbkowicki";"ząbkowicki";"dolnośląskie";1;1;94;109;15;3;22
8;"Zespół Szkolno-Przedszkolny nr 1, ul. Zamkowa 4, 57-230 Kamieniec Ząbkowicki";22403;"gm. Kamieniec Ząbkowicki";"ząbkowicki";"dolnośląskie";1;1;196;142;25;11;52
9;"Zespół Szkolno-Przedszkolny nr 1, ul. Zamkowa 4, 57-230 Kamieniec Ząbkowicki";22403;"gm. Kamieniec Ząbkowicki";"ząbkowicki";"dolnośląskie";1;1;342;201;54;11;56
10;"Świetlica Wiejska, Byczeń 18, 57-230 Kamieniec Ząbkowicki";22403;"gm. Kamieniec Ząbkowicki";"ząbkowicki";"dolnośląskie";1;1;73;63;15;1;17
1;"Szkoła Podstawowa w Budzowie z filią w Grodziszczu, Budzów 108, 57-214 Budzów";22404;"gm. Stoszowice";"ząbkowicki";"dolnośląskie";1;1;263;180;16;7;25
2;"Szkoła Podstawowa w Budzowie z filią w Grodziszczu, Grodziszcze 4, 58-262 Ostroszowice";22404;"gm. Stoszowice";"ząbkowicki";"dolnośląskie";1;1;275;147;15;0;25
3;"Świetlica Wiejska, Przedborowa 30, 57-208 Przedborowa";22404;"gm. Stoszowice";"ząbkowicki";"dolnośląskie";1;1;218;163;21;8;17
4;"Srebrnogórska Przestrzeń Artystyczna, pl. Plac Wypoczynkowy 4, 57-215 Srebrna Góra";22404;"gm. Stoszowice";"ząbkowicki";"dolnośląskie";1;1;329;153;13;8;41
5;"Świetlica Wiejska, Stoszowice 43, 57-213 Stoszowice";22404;"gm. Stoszowice";"ząbkowicki";"dolnośląskie";1;1;292;137;12;6;14
6;"Świetlica Wiejska w Lutomierzu, Lutomierz 41, 57-213 Stoszowice";22404;"gm. Stoszowice";"ząbkowicki";"dolnośląskie";1;1;106;40;6;1;8
1;"Centrum Organizacji Pozarządowych, pl. Plac Marii Skłodowskiej-Curie 1, 57-200 Ząbkowice Śląskie";22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";1;1;178;152;22;5;27
2;"Specjalny Ośrodek Szkolno-Wychowawczy, ul. Proletariatczyków 9, 57-200 Ząbkowice Śląskie";22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";1;1;185;129;30;8;50
3;"Ząbkowickie Centrum Kultury i Turystyki, rynek Rynek 24, 57-200 Ząbkowice Śląskie";22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";1;1;195;170;20;4;35
4;"Szkoła Podstawowa nr 1, ul. Krzywa 9, 57-200 Ząbkowice Śląskie";22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";1;1;176;158;30;15;39
5;"Świetlica Wiejska, ul. Kamieniecka 35, 57-200 Ząbkowice Śląskie";22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";1;1;220;108;36;8;52
6;"Centrum Terapeutyczne, ul. 1 Maja 15c, 57-200 Ząbkowice Śląskie";22405;"gm. Ząbkowice Śląskie";"ząbkowicki";"dolnośląskie";1;1;287;167;37;17;74
